"날짜","종목코드","종목명","급등 사유","등락"
"2006-09-06","","","미국 수출 PDP TV 선적 시작 소식",""
"2006-09-06","","","항암제 관련 미국 특허취득 소식",""
"2006-09-06","","","110억 규모 공사 계약 소식",""
"2006-09-06","","","감자후 거래재개",""
"2006-09-06","","","체지방측정기 美 FDA 승인 소식",""
"2006-09-08","","","미국 수출 PDP TV 선적 시작 소식",""
"2006-09-08","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 소식",""
"2006-09-08","","","최대주주측의 추가 지분 매입 소식",""
"2006-09-08","","","포스코와의 빅딜설",""
"2006-09-08","","","美 쇠고기 수입 재개에 따른 수혜 기대감",""
"2006-09-11","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 소식",""
"2006-09-11","","","사옥 매각 차익 기대감",""
"2006-09-11","","","관계회사인 비츠로시스의 사옥 매각 차익 기대감으로 동반상승",""
"2006-09-11","","","헐리우드 유명 프로듀서의 지분 참여 소식",""
"2006-09-12","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 소식",""
"2006-09-12","","","美 투자회사의 동사에 대한 지분율 증가 소식",""
"2006-09-12","","","고성장 기대감",""
"2006-09-12","","","장하성펀드 관련주 강세",""
"2006-09-12","","","장하성펀드 관련주 강세",""
"2006-09-12","","","장하성펀드 관련 관심종목으로 부각",""
"2006-09-12","","","자사의 항생제대체제가 미국의 축산기업 실험서 효과 입증 소식",""
"2006-09-13","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 소식",""
"2006-09-13","","","대표이사의 자사주 매입소식",""
"2006-09-13","","","미국의 리얼티그룹으로의 매각 호재",""
"2006-09-13","","","저평가 부각",""
"2006-09-14","","","저평가 부각",""
"2006-09-14","","","미국의 리얼티그룹으로의 매각 호재",""
"2006-09-14","","","대동공업의 M&A 재부각에 따른 계열회사 동반 급등",""
"2006-09-14","","","부동산 매각 결정",""
"2006-09-14","","","M&A 재부각",""
"2006-09-14","","","신규사업 추진 소식",""
"2006-09-14","","","4분기 기대감",""
"2006-09-14","","","바이오업체와 경영권 매각 계약 체결 소식",""
"2006-09-15","","","미국으로부터 전작권 환수 가능성에 따른 수혜 기대감으로 일부 전쟁및테러관련주 강세",""
"2006-09-15","","","유상증자 결정 소식",""
"2006-09-18","","","유상증자 결정 소식",""
"2006-09-18","","","에이즈 제조기술 아프리카 ARIPO 15개 국 특허 등록 완료 소식",""
"2006-09-18","","","벅스인터랙티브와의 경영권 분쟁종결 합의",""
"2006-09-18","","","디지털도어록 2위업체 인수소식",""
"2006-09-18","","","피인수작업 본격화 소식",""
"2006-09-19","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 모멘텀 지속",""
"2006-09-19","","","예당과 벅스인터간 경영권 분쟁종결 합의",""
"2006-09-19","","","사조산업의 대림수산 인수를 위한 작업 본격화 소식",""
"2006-09-19","","","사조산업의 대림수산 인수를 위한 작업 본격화 소식",""
"2006-09-19","","","예당과 벅스인터간 경영권 분쟁종결 합의",""
"2006-09-19","","","일본에서 한방화장품 브랜드 산심의 성공적 론칭 소식",""
"2006-09-19","","","장하성 펀드의 태광그룹에 대한 공세로 관련주 동반 강세",""
"2006-09-20","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 모멘텀 지속",""
"2006-09-20","","","사조산업의 대림수산 인수를 위한 작업 본격화 소식",""
"2006-09-20","","","경영권 변동 소식",""
"2006-09-20","","","벅스인터와 경영권 분쟁종결 합의",""
"2006-09-20","","","사조산업의 대림수산 인수를 위한 작업 본격화 소식",""
"2006-09-20","","","전날 시간외 대량매매",""
"2006-09-21","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 모멘텀 지속",""
"2006-09-21","","","우리투자증권 사모펀드(PEF)의 동사 지분 인수 소식",""
"2006-09-21","","","메리츠금융의 동사 지분 인수 소식",""
"2006-09-21","","","와이브로 시장진출소식",""
"2006-09-21","","","LCD 면광원용 IP개발완료 및 본격 양산 소식",""
"2006-09-22","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 모멘텀 지속",""
"2006-09-22","","","우리투자증권 사모펀드(PEF)의 동사 지분 인수 소식",""
"2006-09-22","","","와이브로 시장진출소식",""
"2006-09-22","","","LCD 면광원용 IP개발완료 및 본격 양산 소식",""
"2006-09-22","","","저평가 진단",""
"2006-09-22","","","중국 대체에너지 사업 기대감",""
"2006-09-22","","","쌍용차 진단장비 OEM업체로 낙찰 소식",""
"2006-09-25","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 모멘텀 지속",""
"2006-09-25","","","우리투자증권 사모펀드(PEF)의 동사 지분 인수 소식",""
"2006-09-25","","","중국 대체에너지 사업 기대감",""
"2006-09-25","","","상호접속료 산정 대상 미포함 소식에 와이브로관련주 강세",""
"2006-09-25","","","공급계약, 구매단가 계약 등",""
"2006-09-25","","","신규 상장 첫날 상한가",""
"2006-09-25","","","올해 실적 기대감 및 저평가 부각",""
"2006-09-25","","","인도 소재 방송국과의 107억 규모 STB 공급계약 소식",""
"2006-09-25","","","상호접속료 산정 대상 미포함 소식에 와이브로관련주 강세",""
"2006-09-25","","","주식분할 결정",""
"2006-09-26","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 모멘텀 지속",""
"2006-09-26","","","진대제 前 장관 영입소식",""
"2006-09-26","","","모바일인프라의 동사 경영권 인수소식",""
"2006-09-26","","","대규모 해외 공급계약 소식",""
"2006-09-26","","","신규 상장 첫날 급등",""
"2006-09-27","","","ETRI와 공동으로 기가급 WDM-PON기술 개발, 상용화 모멘텀 지속",""
"2006-09-27","","","대규모 해외 공급계약 모멘텀",""
"2006-09-27","","","프랜차이즈 회사 인수 모멘텀",""
