"날짜","종목코드","종목명","급등 사유","등락"
"2013-01-16","","","재무구조 개선 기대감에 동부 그룹주 급등",""
"2013-01-16","","","차기 정부에서 미래창조과학부를 신설한다는 소식",""
"2013-01-16","","","재무구조 개선 기대감에 동부 그룹주 급등",""
"2013-01-16","","","지난해 실적 호조 및 부동산 활성화 대책 수혜 기대감",""
"2013-01-16","","","삼척 생산기지 저장탱크 및 부대설비 관련 공사 수주 및 부동산 활성화 대책 수혜 기대감",""
"2013-01-16","","","재무구조 개선 기대감에 동부 그룹주 급등",""
"2013-01-17","","","계절독감(인플루엔자) 확산에 따른 수혜 기대감",""
"2013-01-17","","","모기업 삼환기업의 법정관리 종결 신청 소식",""
"2013-01-17","","","안랩 연구소장 출신인 홍승창 전무를 최고기술경영자(CTO)로 영입했다는 소식",""
"2013-01-17","","","인수합병(M&A)설",""
"2013-01-17","","","삼성전자가 “갤럭시S4”에 무선충전 기능을 도입하기로 결정했다는 소식에 일부 무선충전기술 관련주 상승",""
"2013-01-17","","","비타민C 발모 촉진제 개발 소식",""
"2013-01-17","","","SG그룹주 급등",""
"2013-01-17","","","SG그룹주 급등",""
"2013-01-17","","","삼성전자가 “갤럭시S4”에 무선충전 기능을 도입하기로 결정했다는 소식에 관련주로 언급되며 상한가",""
"2013-01-17","","","삼성전자가 “갤럭시S4”에 무선충전 기능을 도입하기로 결정했다는 소식에 관련주로 언급되며 상한가",""
"2013-01-18","","","안랩 연구소장 출신인 홍승창 전무를 최고기술경영자(CTO)로 영입했다는 소식",""
"2013-01-18","","","인수합병(M&A)설",""
"2013-01-18","","","9.99억원 규모 BW 발행 결정",""
"2013-01-18","","","비타민C 발모 촉진제 개발 소식",""
"2013-01-18","","","새 정부의 벤처활성화 정책 기대감에 창투사 관련주 급등",""
"2013-01-18","","","새 정부의 벤처활성화 정책 기대감에 창투사 관련주 급등",""
"2013-01-18","","","계열사 지분 확대",""
"2013-01-18","","","차(茶) 생산 법인 인수 소식",""
"2013-01-21","","","안랩 연구소장 출신인 홍승창 전무를 최고기술경영자(CTO)로 영입했다는 소식",""
"2013-01-21","","","인수합병(M&A)설",""
"2013-01-21","","","9.99억원 규모 BW 발행 결정",""
"2013-01-21","","","비타민C 발모 촉진제 개발 소식",""
"2013-01-21","","","계열사 지분 매각 소식",""
"2013-01-21","","","삼척화력발전소 수주 소식에 동양그룹주 급등",""
"2013-01-21","","","삼척화력발전소 수주 소식에 동양그룹주 급등",""
"2013-01-21","","","비무장지대(DMZ) 평화공원 조성 소식에 관련주로 언급되며 상한가",""
"2013-01-21","","","경제민주화 기대 모멘텀 지속",""
"2013-01-21","","","강릉 화력발전소 사업자로 동부그룹이 선정됐다는 소식",""
"2013-01-21","","","시멘트 관련주 급등",""
"2013-01-21","","","지난해 영업이익 흑자전환 소식",""
"2013-01-21","","","회생절차 개시결정",""
"2013-01-21","","","삼척화력발전소 수주 소식에 동양그룹주 급등",""
"2013-01-22","","","안랩 연구소장 출신인 홍승창 전무를 최고기술경영자(CTO)로 영입했다는 소식",""
