"날짜","종목코드","종목명","급등 사유","등락"
"2019-01-02",226350.0,"아이엠텍","안테나 사업 양도 및 와이디미디어 전환사채 취득 결정에 상한가",29.84
"2019-01-02",95190.0,"이엠코리아","현대차그룹, 8조원 규모 수소차 투자 비전 발표 등에 수소차 관련주 상승 속 급등",22.61
"2019-01-02",112040.0,"위메이드","게임/모바일게임 관련주 상승 속 중국 내 저작권 소송 승소 소식에 급등",17.92
"2019-01-02",11320.0,"유니크","현대차그룹, 8조원 규모 수소차 투자 비전 발표 등에 수소차 관련주 상승 속 급등",16.09
"2019-01-02",78070.0,"유비쿼스홀딩스","자회사 유비쿼스 실적 성장 기대감 지속에 급등",15.54
"2019-01-02",37460.0,"삼지전자","5G 투자사이클 본격 시작 기대감 등에 통신장비/5G 관련주 상승 속 급등",12.85
"2019-01-02",23900.0,"풍국주정","현대차그룹, 8조원 규모 수소차 투자 비전 발표 등에 수소차 관련주 상승 속 급등",12.5
"2019-01-02",298380.0,"에이비엘바이오","JP모건 헬스케어 컨퍼런스를 앞두고 일부 제약/바이오 관련주 상승 속 급등",12.25
"2019-01-02",126880.0,"제이엔케이히터","현대차그룹, 8조원 규모 수소차 투자 비전 발표 등에 수소차 관련주 상승 속 급등",11.73
"2019-01-02",180400.0,"캔서롭","日 유전자 검사 시장 진출 기대감에 급등",11.07
"2019-01-02",208860.0,"엔지스테크널러지","KT와 커넥티드카 온라인서비스 플랫폼 개발 계약에 급등",10.28
"2019-01-02",86820.0,"바이오솔루션","JP모건 헬스케어 컨퍼런스를 앞두고 일부 제약/바이오 관련주 상승 속 급등",9.05
"2019-01-03",225570.0,"넷게임즈","김정주 대표, 넥슨 매각 추진 소식에 게임/모바일게임 관련주 상승 속 상한가",29.99
"2019-01-03",41140.0,"넥슨지티","김정주 대표, 넥슨 매각 추진 소식에 게임/모바일게임 관련주 상승 속 상한가",29.98
"2019-01-03",215790.0,"이노인스트루먼트","일부 5G/통신장비 관련주 상승 속 내년 실적 턴어라운드 기대감 지속에 상한가",29.96
"2019-01-03",33340.0,"좋은사람들","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 상한가",29.88
"2019-01-03",14990.0,"인디에프","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 상한가",29.88
"2019-01-03",9270.0,"신원","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 급등",24.16
"2019-01-03",26040.0,"제이에스티나","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 급등",22.26
"2019-01-03",115440.0,"우리넷","양자암호 연동 광통신 장비 국산화 성공 소식 등에 급등",19.77
"2019-01-03",49630.0,"재영솔루텍","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 급등",13.62
"2019-01-03",208860.0,"엔지스테크널러지","KT와 커넥티드카 온라인서비스 플랫폼 개발 계약 체결 모멘텀 지속에 급등",13.39
"2019-01-03",33100.0,"제룡전기","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 급등",12.47
"2019-01-03",263770.0,"유에스티","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 급등",10.84
"2019-01-03",147830.0,"제룡산업","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 급등",9.73
"2019-01-03",100660.0,"서암기계공업","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 급등",9.65
"2019-01-03",890.0,"보해양조","유시민 노무현재단 이사장 관련주로 시장에서 부각되며 급등",9.55
"2019-01-03",58630.0,"엠게임","김정주 대표, 넥슨 매각 추진 소식에 게임/모바일게임 관련주 상승 속 상한가",9.31
"2019-01-03",7610.0,"선도전기","北美 2차 정상회담 개최 기대감 등으로 대북관련주 강세 속 급등",9.08
"2019-01-04",57030.0,"YBM넷","유시민 노무현재단 이사장 관련주로 시장에서 부각되며 상한가",30.0
"2019-01-04",93380.0,"풍강","유시민 노무현재단 이사장 관련주로 시장에서 부각되며 상한가",30.0
"2019-01-04",10240.0,"흥국","유시민 노무현재단 이사장 관련주로 시장에서 부각되며 급등",24.07
"2019-01-04",53030.0,"바이넥스","CMO 수요 증대 전망 등에 급등",18.87
"2019-01-04",271980.0,"제일약품","뇌졸중 신약 임상 결과 및 JP모건 헬스케어 파트너링 미팅 기대감에 급등",18.19
"2019-01-04",41140.0,"넥슨지티","김정주 대표, 넥슨 매각 추진 모멘텀 지속 등에 급등",18.0
"2019-01-04",4720.0,"우리들제약","JP모건 헬스케어 컨퍼런스 기대감 등으로 제약/바이오 관련주 상승 속 급등",17.56
"2019-01-04",96240.0,"청담러닝","中 JV 설립 완료로 로열티 수입 증가 전망 등에 급등",16.95
"2019-01-04",112040.0,"위메이드","게임/모바일게임 관련주 상승 속 중국 내 저작권 소송 승소 모멘텀 지속 등에 급등",15.25
"2019-01-04",263050.0,"유틸렉스","JP모건 헬스케어 컨퍼런스 기대감 등으로 제약/바이오 관련주 상승 속 급등",15.0
"2019-01-04",208370.0,"셀바스헬스케어","일부 의료기기 관련주 상승 속 급등",13.33
"2019-01-04",238090.0,"앤디포스","큐어바이오, 주요 파이프라인 전임상 돌입 예정 등에 급등",13.19
"2019-01-04",187790.0,"나노","삼성전자, 미세먼지연구소 신설 소식에 황사/미세먼지 관련주 상승 속 급등",12.23
