"종목코드","종목명","가격","등락","상한가일수","사유","날짜"
"011230","삼화전자",2600.0,30.0,1.0,"일부 삼화콘덴서 그룹주 급등 속 상한가","2017-01-02"
"067000","조이시티",26650.0,30.0,1.0,"프리스타일 모바일 버전 中 흥행 기대감에 상한가","2017-01-02"
"104040","대성파인텍",3475.0,29.91,1.0,"일부 문재인 관련주 급등 속 상한가","2017-01-02"
"043220","에이치엘비파워",2265.0,29.8,1.0,"ESS 제조업체 ㈜루비 지분 취득 결정에 상한가","2017-01-02"
"001620","동국실업",3435.0,20.95,"","CES 2017을 앞둔 기대감에 일부 자동차부품주 상승 속 급등","2017-01-02"
"220180","핸디소프트",8980.0,13.38,"","사물인터넷 및 커넥티드카 기대감에 급등","2017-01-02"
"109960","로코조이",6060.0,11.6,"","슈넬생명과학의 동사 지분 취득 결정에 급등","2017-01-02"
"009470","삼화전기",6180.0,11.35,"","일부 삼화콘덴서 그룹주 급등","2017-01-02"
"093520","매커스",3575.0,9.49,"","비트코인 가격 1,000달러 돌파 소식에 비트코인 관련주 상승 속 급등","2017-01-02"
"133820","화인베스틸",3480.0,29.85,1.0,"문재인 관련주로 시장에서 부각되며 상한가","2017-01-03"
"138610","나이벡",9760.0,24.65,"","항암기능성 펩타이드 관련 특허 취득에 급등","2017-01-03"
"053300","한국정보인증",6900.0,16.16,"","中 알리페이, 한국에 합작법인 설립 소식에 핀테크/전자결제 관련주 상승 속 급등","2017-01-03"
"048870","코아로직",3250.0,30.0,1.0,"관리종목 탈피 기대감에 상한가","2017-01-04"
"117930","한진해운",481.0,30.0,1.0,"SM그룹으로 피인수 기대감에 상한가","2017-01-04"
"123040","엠에스오토텍",5970.0,19.64,"","CES 2017을 앞둔 기대감에 급등","2017-01-04"
"130500","GH신소재",5730.0,15.06,"","CES 2017을 앞둔 기대감에 급등","2017-01-04"
"003280","흥아해운",1600.0,14.29,"","SM그룹의 한진해운 인수 기대감에 급등","2017-01-04"
"012690","모나리자",7900.0,14.16,"","최대주주 지분 매각 추진 소식에 급등","2017-01-04"
"123420","선데이토즈",23100.0,11.33,"","신작 기대감에 급등","2017-01-04"
"117930","한진해운",625.0,29.94,2.0,"SM그룹으로 피인수 기대감에 이틀째 상한가","2017-01-05"
"048870","코아로직",4120.0,26.77,"","관리종목 탈피 기대감 지속에 급등","2017-01-05"
"142760","바이오리더스",8050.0,25.39,"","제약/바이오주 강세 속 급등","2017-01-05"
"225530","보광산업",11700.0,9.86,"","무상증자 권리락 효과에 급등","2017-01-05"
"052270","우전",530.0,29.9,1.0,"삼성전자 어닝서프라이즈 소식에 일부 휴대폰부품주 급등 속 상한가","2017-01-06"
"131290","티에스이",10800.0,29.81,1.0,"삼성전자 어닝서프라이즈 소식에 일부 반도체장비주 급등 속 상한가","2017-01-06"
"057030","와이비엠넷",10550.0,29.77,1.0,"일부 반기문 관련주 급등 속 상한가","2017-01-06"
"005980","성지건설",2400.0,22.14,"","이재명 관련주로 시장에서 부각되며 급등","2017-01-06"
