"날짜","종목코드","종목명","급등 사유","등락"
"2012-01-02","","","동사의 조현정 대표가 한나라당 비상대책위원회에 외부위원으로 참여한다는 소식",""
"2012-01-02","","","인터넷 매체를 이용한 선거운동을 금지하는 공직선거법 조항은 위헌이라는 헌법재판소 결정에 UCC 관련주 상승",""
"2012-01-02","","","SK텔레콤 LTE망 구축용 SCAN용 광전송 장비 납품 계약 체결",""
"2012-01-02","","","안철수 서울대 융합과학기술대학원장이 대선준비를 하고 있다는 언론 보도 및 대선관련 여론조사에서 박근혜 한나라당 비상대책위원장을 앞섰다는 소식",""
"2012-01-02","","","인터넷 매체를 이용한 선거운동을 금지하는 공직선거법 조항은 위헌이라는 헌법재판소 결정에 UCC 관련주 상승",""
"2012-01-02","","","재무구조 개선 기대감",""
"2012-01-02","","","휴맥스홀딩스와 휴맥스의 최대주주이자 대표인 변대규씨가 안철수 원장과 친분을 갖고 있다는 소식에 안철수 원장의 인맥 관련주로 부각",""
"2012-01-02","","","OLED 관련주 상승",""
"2012-01-02","","","신약(폐혈증치료제) 개발 관련주 상승",""
"2012-01-02","","","표적항암제 비임상실험이 빠르면 상반기 안에 가능할 것이란 소식",""
"2012-01-02","","","사회보장기본법 전부개정법률안(일명 박근혜법) 국회 통과 소식에 의료기기/치아치료 관련주 상승",""
"2012-01-02","","","일부 교육/온라인 교육 관련주 상승",""
"2012-01-02","","","KT와의 유아용 로봇(키봇2) 공급계약 체결",""
"2012-01-02","","","무선인터넷(스마트폰) 관련주 상승",""
"2012-01-02","","","경구용 항암제 보건신기술 인증 마크 획득 소식",""
"2012-01-02","","","인터넷 매체를 이용한 선거운동을 금지하는 공직선거법 조항은 위헌이라는 헌법재판소 결정에 UCC 관련주 상승",""
"2012-01-02","","","일부 교육/온라인 교육 관련주 상승",""
"2012-01-02","","","OLED 관련주 상승",""
"2012-01-02","","","인터넷 매체를 이용한 선거운동을 금지하는 공직선거법 조항은 위헌이라는 헌법재판소 결정에 UCC 관련주 상승",""
"2012-01-02","","","동사 김희철 회장의 사재 증여",""
"2012-01-02","","","줄기세포 관련주 상승",""
"2012-01-02","","","최대주주 변경",""
"2012-01-02","","","휴맥스홀딩스와 휴맥스의 최대주주이자 대표인 변대규씨가 안철수 원장과 친분을 갖고 있다는 소식에 안철수 원장의 인맥 관련주로 부각",""
"2012-01-03","","","동사의 조현정 대표가 한나라당 비상대책위원회에 외부위원으로 참여한다는 소식",""
"2012-01-03","","","인터넷 매체를 이용한 선거운동을 금지하는 공직선거법 조항은 위헌이라는 헌법재판소 결정에 UCC 관련주 연일 상승",""
"2012-01-03","","","인터넷 매체를 이용한 선거운동을 금지하는 공직선거법 조항은 위헌이라는 헌법재판소 결정에 UCC 관련주 연일 상승",""
"2012-01-03","","","일부 교육/온라인 교육 관련주 상승",""
"2012-01-03","","","경구용 항암제 보건신기술 인증 마크 획득 소식",""
"2012-01-03","","","동사의 최대주주인 변대규씨가 안철수 원장과 친분을 갖고 있다는 소식에 안철수 원장의 인맥 관련주로 부각되며 연일 상한가",""
"2012-01-03","","","동사 김희철 회장의 사재 증여",""
"2012-01-03","","","정부가 핵융합 기반기술에 올해부터 5년간 1조원을 투입한다는 소식에 핵융합에너지 관련주 상승",""
"2012-01-03","","","동사의 이사인 송철호 변호사가 국회의원 선거에 출마한다는 소식",""
"2012-01-03","","","모바일게임(스마트폰) 관련주 상승",""
"2012-01-03","","","세포신호전달 화장품 개발 소식",""
"2012-01-03","","","채권금융기관과의 출자전환 검토",""
"2012-01-03","","","대통령선거(인맥) 관련주 상승",""
"2012-01-03","","","정부가 핵융합 기반기술에 올해부터 5년간 1조원을 투입한다는 소식에 핵융합에너지 관련주 상승",""
"2012-01-03","","","태양광에너지(원료 및 장비) 관련주 상승",""
"2012-01-03","","","美 페이스북의 연내 상장이 가시화되고 있다는 소식에 인터넷대표주 상승",""
"2012-01-03","","","은 나노 젤을 이용한 전도성 잉크 제조관련 특허 취득",""
"2012-01-03","","","태양광에너지(원료 및 장비) 관련주 상승",""
"2012-01-03","","","SI(시스템통합) 관련주 상승",""
"2012-01-03","","","대통령선거(인맥) 관련주 상승",""
