"종목코드","종목명","가격","등락","상한가일수","사유","날짜"
"049630","재영솔루텍",2340.0,30.0,1.0,"北 김정은 남북대화 시사에 남북경협/전력설비 관련주 강세 속 상한가","2018-01-02"
"085660","차바이오텍",29250.0,30.0,1.0,"줄기세포/제대혈 관련주 급등 속 상한가","2018-01-02"
"900100","뉴프라이드",3185.0,30.0,1.0,"美 캘리포니아 대마초 합법화 소식에 상한가","2018-01-02"
"041190","우리기술투자",4360.0,29.96,1.0,"가상화폐 거래소 수수료 수익 부각에 가상화폐(비트코인 등) 관련주 강세 속 상한가","2018-01-02"
"139050","아이지스시스템",4405.0,29.94,1.0,"㈜옐로모바일과 최대주주 변경 수반 주식양수도 계약 체결 모멘텀 지속에 상한가","2018-01-02"
"016380","동부제철",9640.0,29.92,1.0,"재무구조 개선 기대감에 상한가","2018-01-02"
"021080","에이티넘인베스트",3220.0,29.32,"","가상화폐 거래소 수수료 수익 부각에 가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-02"
"147830","제룡산업",10200.0,25.93,"","北 김정은 남북대화 시사에 남북경협/전력설비 관련주 강세 속 급등","2018-01-02"
"065660","안트로젠",57000.0,23.91,"","줄기세포/제대혈 관련주 급등 속 급등","2018-01-02"
"058820","CMG제약",7580.0,21.47,"","제약업체 관련주 상승 속 급등","2018-01-02"
"121800","비덴트",28750.0,19.79,"","가상화폐 거래소 수수료 수익 부각에 가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-02"
"009730","코센",1290.0,19.44,"","2차전지 사업 확대 기대감에 급등","2018-01-02"
"000250","삼천당제약",18400.0,19.09,"","제약업체 관련주 상승 속 급등","2018-01-02"
"088800","에이스테크",5850.0,18.18,"","5G(5세대 이동통신) 관련주 강세 속 급등","2018-01-02"
"039200","오스코텍",19100.0,16.11,"","류마티스 관절염 치료제 美 임상 2a 신청 모멘텀 지속 등으로 급등","2018-01-02"
"052420","오성엘에스티",1015.0,15.08,"","美 캘리포니아 대마초 합법화 소식에 급등","2018-01-02"
"024810","이화전기",381.0,14.76,"","北 김정은 남북대화 시사에 남북경협/전력설비 관련주 강세 속 급등","2018-01-02"
"019550","SBI인베스트먼트",1230.0,14.42,"","가상화폐 거래소 수수료 수익 부각에 가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-02"
"081970","넥스지",13850.0,13.99,"","가상화폐 거래소 수수료 수익 부각에 가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-02"
"089890","고려반도체",5800.0,13.73,"","212.13억원 규모 플렉서블 OLED 제조장비 수주에 급등","2018-01-02"
"026040","제이에스티나",6060.0,13.27,"","北 김정은 남북대화 시사에 남북경협/전력설비 관련주 강세 속 급등","2018-01-02"
"005420","코스모화학",29700.0,13.14,"","2차전지/전기차 관련주 상승 속 급등","2018-01-02"
"027830","대성창투",2605.0,12.28,"","창투사 관련주 급등 속 급등","2018-01-02"
"084180","수성",5050.0,12.22,"","2차전지/전기차 관련주 상승 속 급등","2018-01-02"
"033100","제룡전기",6640.0,12.16,"","北 김정은 남북대화 시사에 남북경협/전력설비 관련주 강세 속 급등","2018-01-02"
"053700","삼보모터스",6750.0,11.57,"","2차전지/전기차 관련주 상승 속 급등","2018-01-02"
"203690","프로스테믹스",7960.0,11.33,"","줄기세포/제대혈 관련주 급등 속 급등","2018-01-02"
"900100","뉴프라이드",4140.0,29.98,2.0,"美 캘리포니아 대마초 합법화 모멘텀 지속에 이틀째 상한가","2018-01-03"
"049630","재영솔루텍",3040.0,29.91,2.0,"판문점 연락채널 재개통 기대감에 남북경협/전력설비 관련주 강세 속 이틀째 상한가","2018-01-03"
"016380","동부제철",12500.0,29.67,2.0,"철강 주요종목 강세 속 재무구조 개선 기대감 지속 등으로 이틀째 상한가","2018-01-03"
"056730","포스링크",3555.0,29.98,1.0,"가상화폐(비트코인 등) 관련주 강세 속 상한가","2018-01-03"
"131100","리켐",1480.0,29.82,1.0,"일부 2차전지/전기차 관련주 상승 속 상한가","2018-01-03"
"033100","제룡전기",7950.0,19.73,"","판문점 연락채널 재개통 기대감에 남북경협/전력설비 관련주 강세 속 급등","2018-01-03"
"073240","금호타이어",5320.0,19.02,"","재매각 기대감에 급등","2018-01-03"
"011000","진원생명과학",7230.0,18.33,"","관계사 이노비오의 자궁경부전암 DNA 백신 기술 수출 소식에 급등","2018-01-03"
"191420","테고사이언스",116200.0,15.28,"","줄기세포 관련주 상승 속 급등","2018-01-03"
"080530","코디",1150.0,14.43,"","일부 2차전지/전기차 관련주 상승 속 급등","2018-01-03"
"118000","우리들휴브레인",4265.0,13.28,"","줄기세포 관련 국책과제 연구 진행 모멘텀 지속에 급등","2018-01-03"
"065940","바이오빌",4190.0,12.94,"","줄기세포 관련주 상승 속 급등","2018-01-03"
"039560","다산네트웍스",7870.0,12.91,"","통신장비 관련주 상승 속 급등","2018-01-03"
"041190","우리기술투자",4905.0,12.5,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-03"
"003000","부광약품",26700.0,12.18,"","줄기세포 관련주 상승 속 급등","2018-01-03"
"196490","디에이테크놀로지",13400.0,12.13,"","일부 2차전지/전기차 관련주 상승 속 급등","2018-01-03"
"065660","안트로젠",63900.0,12.11,"","줄기세포 관련주 상승 속 급등","2018-01-03"
"042660","대우조선해양",17200.0,12.05,"","조선주 강세 속 급등","2018-01-03"
"065160","에프티이앤이",5990.0,11.55,"","나노섬유 성장 기대감에 급등","2018-01-03"
"021080","에이티넘인베스트",3575.0,11.02,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-03"
"024810","이화전기",422.0,10.76,"","판문점 연락채널 재개통 기대감에 남북경협/전력설비 관련주 강세 속 급등","2018-01-03"
"033340","좋은사람들",2320.0,10.21,"","판문점 연락채널 재개통 기대감에 남북경협/전력설비 관련주 강세 속 급등","2018-01-03"
"009270","신원",2550.0,9.91,"","판문점 연락채널 재개통 기대감에 남북경협/전력설비 관련주 강세 속 급등","2018-01-03"
