"종목코드","종목명","가격","등락","상한가일수","사유","날짜"
"014990","인디에프",1255.0,9.61,"","판문점 연락채널 재개통 기대감에 남북경협/전력설비 관련주 강세 속 급등","2018-01-03"
"056360","코위버",9170.0,9.43,"","통신장비 관련주 상승 속 급등","2018-01-03"
"068270","셀트리온",246700.0,9.21,"","코스피 이전상장 기대감 지속 및 바이오 관련주 강세 등으로 급등","2018-01-03"
"027830","대성창투",3470.0,29.96,1.0,"창투사 관련주 급등 속 상한가","2018-01-04"
"021080","에이티넘인베스트",4645.0,29.93,1.0,"가상화폐(비트코인 등) 관련주 강세 속 상한가","2018-01-04"
"900180","완리",718.0,29.84,1.0,"中 슝안신구 관련주로 시장에서 부각되며 상한가","2018-01-04"
"036170","씨티엘",4660.0,21.67,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-04"
"037460","삼지전자",11000.0,20.75,"","5G 투자확대에 따른 수혜 기대감에 급등","2018-01-04"
"019550","SBI인베스트먼트",1460.0,19.18,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-04"
"036090","위지트",2085.0,17.13,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-04"
"033320","제이씨현시스템",10950.0,16.74,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-04"
"241520","DSC인베스트먼트",6500.0,16.49,"","창투사 관련주 급등 속 급등","2018-01-04"
"001470","삼부토건",8080.0,15.93,"","中 슝안신구 관련주로 시장에서 부각되며 급등","2018-01-04"
"057680","옴니텔",9190.0,14.59,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-04"
"016600","큐캐피탈",1120.0,13.25,"","창투사 관련주 급등 속 급등","2018-01-04"
"044380","주연테크",614.0,12.66,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-04"
"019570","제미니투자",648.0,11.72,"","창투사 관련주 급등 속 급등","2018-01-04"
"220100","퓨쳐켐",22300.0,9.85,"","자회사 퓨쳐켐헬스케어의 GMP 인증 완료 소식 및 카트리지 방사성의약품 제조방법 관련 中 특허 취득 모멘텀 지속에 급등","2018-01-04"
"018260","삼성에스디에스",223500.0,9.83,"","블록체인 사업 기대감 지속에 급등","2018-01-04"
"039230","폭스브레인",1690.0,30.0,1.0,"최대주주 변경에 상한가","2018-01-05"
"041190","우리기술투자",6370.0,29.87,1.0,"가상화폐(비트코인 등) 관련주 상승 속 상한가","2018-01-05"
"007630","암니스",13150.0,29.56,1.0,"통신장비/5G(5세대 이동통신) 관련주 상승 속 상한가","2018-01-05"
"066700","테라젠이텍스",14950.0,25.1,"","제약업체 관련주 상승 속 급등","2018-01-05"
"047080","한빛소프트",6150.0,24.75,"","日 미탭스와 가상화폐 사업 진출 기대에 급등","2018-01-05"
"085660","차바이오텍",34850.0,23.36,"","줄기세포 관련주 강세 속 급등","2018-01-05"
"079190","EMW",4300.0,20.62,"","2차전지 사업 본격화 기대감 지속에 급등","2018-01-05"
"038060","루멘스",5150.0,20.19,"","통신장비/5G(5세대 이동통신) 관련주 상승 속 급등","2018-01-05"
"096040","이트론",390.0,20.0,"","가상화폐(비트코인 등) 관련주 상승 속 급등","2018-01-05"
"220100","퓨쳐켐",26000.0,16.59,"","자회사 퓨쳐켐헬스케어의 GMP 인증 완료 소식 및 카트리지 방사성의약품 제조방법 관련 中 특허 취득 모멘텀 지속에 급등","2018-01-05"
"074610","이엔쓰리",6900.0,15.38,"","암세포 파괴 나노입자 상업화 권리 보유 부각으로 급등","2018-01-05"
"065160","에프티이앤이",6650.0,13.68,"","나노섬유 성장 기대감 지속 및 태양광에너지 관련주 상승 속 급등","2018-01-05"
"234080","JW생명과학",47850.0,13.52,"","영양수액 GMP 실사 기대감 및 제약업체 관련주 상승 속 급등","2018-01-05"
"005420","코스모화학",33350.0,12.86,"","2차전지 관련주 상승 속 급등","2018-01-05"
"065660","안트로젠",67500.0,12.13,"","줄기세포 관련주 강세 속 급등","2018-01-05"
"033110","이디",1960.0,12.0,"","KT와 아제르바이잔 직업기술대학 ICT 구축사업 체결 소식에 급등","2018-01-05"
"123840","한일진공",3690.0,11.99,"","가상화폐(비트코인 등) 관련주 상승 속 급등","2018-01-05"
"056090","유앤아이",13300.0,11.76,"","척추고정장치 관련 美FDA 수입품목 허가 취득 소식에 급등","2018-01-05"
"166480","코아스템",14750.0,11.74,"","줄기세포 관련주 강세 속 급등","2018-01-05"
"900180","완리",800.0,11.42,"","中 슝안신구 관련주로 시장에서 부각되며 급등","2018-01-05"
"126870","뉴로스",6250.0,11.41,"","현대차그룹 자율주행 수소차 기대감에 수소차 관련주 상승 속 급등","2018-01-05"
"027830","대성창투",3860.0,11.24,"","일부 창투사 관련주 상승 속 급등","2018-01-05"
"215200","메가스터디교육",67300.0,11.06,"","공무원 채용 확대에 따른 수혜 기대감에 급등","2018-01-05"
"007630","암니스",17050.0,29.66,2.0,"통신장비 관련주 상승 속 이틀째 상한가","2018-01-08"
"074610","이엔쓰리",8970.0,30.0,1.0,"암세포 파괴 나노입자 상업화 권리 보유 부각 모멘텀 지속에 상한가","2018-01-08"
"066790","씨씨에스",742.0,29.95,1.0,"한국체스게임의 인수합병(M&A) 정상 추진 소식에 상한가","2018-01-08"
"036620","버추얼텍",2620.0,23.58,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-08"
"106520","디지탈옵틱",2105.0,21.33,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-08"
"123840","한일진공",4440.0,20.33,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-08"
"065660","안트로젠",79700.0,18.07,"","줄기세포 관련주 강세 속 급등","2018-01-08"
"159910","스킨앤스킨",973.0,15.7,"","갤럭시S9 슈퍼아몰레드 핵심소재 공급 기대감에 급등","2018-01-08"
"039230","폭스브레인",1950.0,15.38,"","100억원 규모 CB발행 결정에 급등","2018-01-08"
"019590","엠벤처투자",480.0,13.48,"","창투사 관련주 강세 속 급등","2018-01-08"
"068270","셀트리온",302500.0,13.34,"","셀트리온그룹주 강세 속 코스피 이전상장 기대감 지속 등으로 급등","2018-01-08"
"166480","코아스템",16700.0,13.22,"","줄기세포 관련주 강세 속 급등","2018-01-08"
"032980","바이온",2040.0,12.71,"","줄기세포 관련주 강세 속 급등","2018-01-08"
"217730","강스템바이오텍",14350.0,12.55,"","줄기세포 치료제 연구개발 가시화 기대감에 급등","2018-01-08"
"145210","세화아이엠씨",3190.0,11.73,"","㈜얼라이컴퍼니와 최대주주 변경 수반 주식 및 경영권 양수도 계약 체결 모멘텀 지속에 급등","2018-01-08"
"033110","이디",2190.0,11.73,"","KT와 아제르바이잔 직업기술대학 ICT 구축사업 체결 소식 모멘텀 지속에 급등","2018-01-08"
"021080","에이티넘인베스트",5070.0,11.67,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-08"
"140670","알에스오토메이션",29150.0,11.47,"","4분기 실적 개선 기대감 지속에 급등","2018-01-08"
"227610","아우딘퓨쳐스",11200.0,11.44,"","스킨케어 제품 美 HSN홈쇼핑 매진 소식에 급등","2018-01-08"
"246690","티에스인베스트먼트",3670.0,11.21,"","창투사 관련주 강세 속 급등","2018-01-08"
"263720","디앤씨미디어",9500.0,10.72,"","중국·일본 웹툰 시장 최상위권 석권 소식 모멘텀 지속에 급등","2018-01-08"
"056730","포스링크",3800.0,10.47,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-08"
"019550","SBI인베스트먼트",1610.0,10.27,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-08"
"006650","대한유화",286000.0,10.21,"","증설효과 본격화 기대감에 급등","2018-01-08"
"195440","퓨전데이타",8560.0,10.17,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-08"
"053980","오상자이엘",9120.0,29.91,1.0,"자사 화장품 원료 美 신물질 등록 소식에 상한가","2018-01-09"
"008700","아남전자",3130.0,29.88,1.0,"하만과 자동차용 오디오 등 사업분야에서 협력을 하고 있다는 점이 부각되며 상한가","2018-01-09"
"190510","나무가",24800.0,29.84,1.0,"스마트폰 3D카메라 시장 확대 기대감에 상한가","2018-01-09"
"053590","한국테크놀로지",2700.0,28.57,"","中 스카이그룹과의 협력 기대감 등으로 급등","2018-01-09"
"014190","원익큐브",2455.0,25.26,"","삼성전자의 폴더블 스마트폰 양산 소식 속 은나노와이어 보유 기술 부각에 급등","2018-01-09"
"041190","우리기술투자",7770.0,21.98,"","일부 가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-09"
"094360","칩스앤미디어",10550.0,19.75,"","삼성전자 자율주행 솔루션 드라이브라인 공개 소식 등에 자율주행차 관련주 강세 속 급등","2018-01-09"
"074610","이엔쓰리",10450.0,16.5,"","에스맥 지분 처분 결정 및 암세포 파괴 나노입자 상업화 권리 보유 모멘텀 지속에 급등","2018-01-09"
"206650","유바이오로직스",7000.0,16.28,"","올해 실적 개선 기대감에 급등","2018-01-09"
"215600","신라젠",109000.0,16.2,"","파트너사 1조 투자유치 소식 등으로 급등","2018-01-09"
"092600","넥스트칩",7900.0,15.5,"","삼성전자 자율주행 솔루션 드라이브라인 공개 소식 등에 자율주행차 관련주 강세 속 급등","2018-01-09"
"071670","에이테크솔루션",14950.0,15.44,"","삼성전자 자율주행 솔루션 드라이브라인 공개 소식 등에 자율주행차 관련주 강세 속 급등","2018-01-09"
"141070","맥스로텍",1715.0,13.95,"","DED 방식 금속 3D 프린터 장비 출시 기대감에 급등","2018-01-09"
"205500","액션스퀘어",7030.0,13.57,"","블레이드2 첫 티져 영상 공개 및 비공개 테스트 예정 소식에 급등","2018-01-09"
"217480","에스디생명공학",15850.0,12.81,"","해외 성장 본격화 전망에 급등","2018-01-09"
"036890","진성티이씨",13550.0,11.98,"","건설기계 관련주 강세 속 급등","2018-01-09"
"011070","LG이노텍",156500.0,10.21,"","광학솔루션 분야 대규모 설비투자 결정에 급등","2018-01-09"
"210540","디와이파워",25000.0,9.17,"","건설기계 관련주 강세 속 급등","2018-01-09"
"066790","씨씨에스",810.0,9.16,"","한국체스게임의 인수합병(M&A) 정상 추진 소식 모멘텀 지속에 급등","2018-01-09"
"004310","현대약품",5330.0,30.0,1.0,"항암 표적 치료제 中 상용화 기대감에 상한가","2018-01-10"
"009420","한올바이오파마",36000.0,29.96,1.0,"항체신약 기술이전 계약 모멘텀 지속에 상한가","2018-01-10"
"080530","코디",1605.0,29.96,1.0,"화장품 관련주 강세 속 상한가","2018-01-10"
"050120","라이브플렉스",1520.0,29.91,1.0,"세계 최초 월정액제 가상화폐 거래소 출시 예정 소식에 상한가","2018-01-10"
"036170","씨티엘",5430.0,29.9,1.0,"세계 최초 월정액제 가상화폐 거래소 출시 예정 소식에 상한가","2018-01-10"
"195440","퓨전데이타",11550.0,29.78,1.0,"가상화폐(비트코인 등) 관련주 강세 속 상한가","2018-01-10"
"070960","용평리조트",12500.0,22.55,"","평창동계 올릭핌 수혜 기대감 지속에 급등","2018-01-10"
"078130","국일제지",989.0,22.4,"","현대차, 차세대 수소전기차 '넥쏘' 공개 소식에 수소차 관련주 상승 속 급등","2018-01-10"
"041190","우리기술투자",9500.0,22.27,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-10"
"036620","버추얼텍",2990.0,20.32,"","가상화폐(비트코인 등) 관련주 강세 속 급등","2018-01-10"
"027830","대성창투",4200.0,17.48,"","창투사 관련주 강세 속 급등","2018-01-10"
"053980","오상자이엘",10650.0,16.78,"","자사 화장품 원료 美 신물질 등록 소식 모멘텀 지속에 급등","2018-01-10"
"014910","성문전자",2555.0,16.4,"","현대차, 차세대 수소전기차 '넥쏘' 공개 소식에 시장에서 관련주로 부각되며 급등","2018-01-10"
"190510","나무가",28700.0,15.73,"","日 소니 아이보(Aibo)에 3D 카메라모듈 공급 소식 등으로 이틀째 급등","2018-01-10"
"053950","경남제약",13250.0,15.22,"","제약/바이오 관련주 상승 속 급등","2018-01-10"
"014620","성광벤드",11400.0,14.8,"","UAE와 사우디 진출 기대감에 원자력발전 관련주 상승 속 급등","2018-01-10"
"263920","에스엔피월드",6600.0,14.78,"","화장품 관련주 강세 속 급등","2018-01-10"
"263720","디앤씨미디어",10400.0,14.41,"","노블코믹스 성장 전망에 급등","2018-01-10"
"009320","대우부품",3570.0,14.06,"","현대차, 차세대 수소전기차 '넥쏘' 공개 소식에 수소차 관련주 상승 속 급등","2018-01-10"
"011420","갤럭시아에스엠",2950.0,13.46,"","평창동계 올릭핌 수혜 기대감 지속에 급등","2018-01-10"
"089890","고려반도체",7960.0,13.07,"","플렉서블 OLED 제조장비 수주 모멘텀 지속에 급등","2018-01-10"
"010060","OCI",186500.0,13.03,"","실적 개선 기대감에 급등","2018-01-10"
"024720","한국콜마홀딩스",44050.0,12.37,"","화장품 관련주 강세 속 급등","2018-01-10"
"246690","티에스인베스트먼트",4145.0,12.03,"","창투사 관련주 강세 속 급등","2018-01-10"
"023160","태광",13300.0,11.3,"","UAE와 사우디 진출 기대감에 원자력발전 관련주 상승 속 급등","2018-01-10"
"000250","삼천당제약",22850.0,10.65,"","제약/바이오 관련주 상승 속 급등","2018-01-10"
"005880","대한해운",27650.0,10.6,"","해운주 강세 속 급등","2018-01-10"
"010240","흥국",8250.0,10.15,"","中 굴삭기 판매 호조 지속 분석에 건설기계 관련주 상승 속 급등","2018-01-10"
"060260","뉴보텍",2520.0,29.9,1.0,"서울시 차세대 하수도 구축 사업 추진 기대감 속 시장에서 관련주로 부각되며 상한가","2018-01-11"
"041910","에스텍파마",17000.0,29.77,1.0,"제약·바이오 관련주 강세 속 상한가","2018-01-11"
"004310","현대약품",6660.0,24.95,"","항암 표적 치료제 中 상용화 기대감 지속에 급등","2018-01-11"
"900280","골든센츄리",3700.0,21.51,"","中 자회사 공급계약 체결에 급등","2018-01-11"
"091990","셀트리온헬스케어",128600.0,17.98,"","코스닥 활성화 정책 발표 속 제약·바이오 관련주 강세 등으로 급등","2018-01-11"
"170900","동아에스티",123500.0,17.06,"","英 아스트라제네카와 면역항암제 공동연구 계약 체결 소식에 급등","2018-01-11"
"206650","유바이오로직스",8020.0,14.57,"","올해 실적 개선 기대감 지속 및 제약·바이오 관련주 강세 등으로 급등","2018-01-11"
"196300","애니젠",29500.0,13.68,"","유방암 치료제 관련 특허 취득에 급등","2018-01-11"
"008700","아남전자",3410.0,12.91,"","하만과 자동차용 오디오 등 사업분야에서 협력을 하고 있다는 점이 지속 부각되며 급등","2018-01-11"
"035600","KG이니시스",20100.0,12.61,"","일부 전자결제(전자화폐) 관련주 상승 속 급등","2018-01-11"
"185490","아이진",22150.0,12.44,"","제약·바이오 관련주 강세 속 급등","2018-01-11"
"109820","진매트릭스",3900.0,12.39,"","제약·바이오 관련주 강세 속 급등","2018-01-11"
"237690","에스티팜",36050.0,12.13,"","제약·바이오 관련주 강세 속 급등","2018-01-11"
"011690","유양디앤유",6490.0,11.7,"","220억원 규모 EB발행 결정에 급등","2018-01-11"
"000250","삼천당제약",25400.0,11.16,"","제약·바이오 관련주 강세 속 급등","2018-01-11"
"060250","NHN한국사이버결제",17550.0,10.38,"","일부 전자결제(전자화폐) 관련주 상승 속 급등","2018-01-11"
"068760","셀트리온제약",89500.0,29.9,1.0,"KRX300 지수 편입 기대감에 제약업체/바이오시밀러 관련주 강세 속 상한가","2018-01-12"
"000040","KR모터스",635.0,29.86,1.0,"변경상장 첫날 상한가","2018-01-12"
"002800","신신제약",10350.0,29.7,1.0,"KRX300 지수 편입 기대감에 제약업체/바이오시밀러 관련주 강세 속 상한가","2018-01-12"
"220100","퓨쳐켐",33500.0,15.92,"","KRX300 지수 편입 기대감에 제약업체/바이오시밀러 관련주 강세 속 급등","2018-01-12"
"091990","셀트리온헬스케어",148100.0,15.16,"","KRX300 지수 편입 기대감에 제약업체/바이오시밀러 관련주 강세 속 급등","2018-01-12"
"069620","대웅제약",205500.0,14.8,"","제약업체/바이오시밀러 관련주 강세 속 나보타 美 출시 임박 소식에 급등","2018-01-12"
"208640","썸에이지",2995.0,13.66,"","신작 모멘텀 기대감 지속에 급등","2018-01-12"
"081970","넥스지",11400.0,13.43,"","일부 가상화폐(비트코인 등) 관련주 상승 속 급등","2018-01-12"
"900110","이스트아시아홀딩스",597.0,12.85,"","中 의료사업 확대 기대감에 급등","2018-01-12"
"016580","환인제약",25500.0,12.83,"","KRX300 지수 편입 기대감에 제약업체/바이오시밀러 관련주 강세 속 급등","2018-01-12"
"024740","한일단조",2655.0,12.5,"","해외수주 확대 기대감에 급등","2018-01-12"
"068270","셀트리온",341500.0,11.24,"","KRX300 지수 편입 기대감에 제약업체/바이오시밀러 관련주 강세 속 급등","2018-01-12"
"036620","버추얼텍",2385.0,29.97,1.0,"가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등에 상한가","2018-01-15"
"084990","바이로메드",230700.0,29.97,1.0,"제약/바이오 관련주 강세 속 상한가","2018-01-15"
"074610","이엔쓰리",14550.0,29.91,1.0,"암세포 파괴 나노입자 상업화 권리 보유 모멘텀 지속 등으로 상한가","2018-01-15"
"041190","우리기술투자",9390.0,29.88,1.0,"가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등에 상한가","2018-01-15"
"036120","SCI평가정보",4565.0,29.87,1.0,"가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등에 상한가","2018-01-15"
"139050","아이지스시스템",4690.0,29.92,"","가상화폐(비트코인 등) 관련주로 시장에서 부각되며 상한가","2018-01-15"
"057680","옴니텔",7680.0,28.86,"","가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등","2018-01-15"
"121800","비덴트",20850.0,26.75,"","가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등","2018-01-15"
"039420","케이엘넷",4400.0,26.44,"","정부의 블록체인 육성 정책 기대감 속 블록체인 컨소시엄 참여 소식 부각에 급등","2018-01-15"
"102460","이연제약",28500.0,24.18,"","제약/바이오 관련주 강세 속 급등","2018-01-15"
"038160","팍스넷",12300.0,23.0,"","가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등","2018-01-15"
"068760","셀트리온제약",109500.0,22.35,"","제약/바이오 관련주 강세 속 급등","2018-01-15"
"027830","대성창투",3370.0,20.36,"","창투사 관련주 급등 속 급등","2018-01-15"
"021080","에이티넘인베스트",3945.0,19.91,"","가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등","2018-01-15"
"081970","넥스지",13450.0,17.98,"","가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등","2018-01-15"
"030210","KTB투자증권",4965.0,16.82,"","증권주 강세 속 경영권 분쟁 마무리에 따른 경영 정상화 기대감에 급등","2018-01-15"
"036090","위지트",2030.0,16.0,"","가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등","2018-01-15"
"019590","엠벤처투자",462.0,15.21,"","창투사 관련주 급등 속 급등","2018-01-15"
"222110","팬젠",18750.0,14.68,"","제약/바이오 관련주 강세 속 급등","2018-01-15"
"191420","테고사이언스",131900.0,14.5,"","제약/바이오 관련주 강세 속 급등","2018-01-15"
"015360","예스코",44550.0,13.94,"","지주회사 전환 관련 공개매수 결정에 급등","2018-01-15"
"100120","뷰웍스",44950.0,13.37,"","의료기기 관련주 상승 속 美 의료용 디텍터 배급사 메드링크 인수 모멘텀 지속에 급등","2018-01-15"
"127120","디엔에이링크",6760.0,12.85,"","제약/바이오 관련주 강세 속 급등","2018-01-15"
"019550","SBI인베스트먼트",1475.0,12.6,"","가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등","2018-01-15"
"050120","라이브플렉스",1540.0,12.41,"","가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등","2018-01-15"
"092040","아미코젠",59000.0,11.95,"","제약/바이오 관련주 강세 속 급등","2018-01-15"
"144510","녹십자랩셀",55000.0,11.68,"","제약/바이오 관련주 강세 속 급등","2018-01-15"
"078160","메디포스트",128300.0,11.57,"","제약/바이오 관련주 강세 속 급등","2018-01-15"
"079190","EMW",5900.0,11.53,"","관계사 EMW에너지, 공기아연일차전지 국방부 우수 상용품 군 운용적합성 적합 판정 모멘텀 지속에 급등","2018-01-15"
"001540","안국약품",14400.0,11.2,"","수도권 미세먼지 비상저감조치 시행 소식에 황사/미세먼지 관련주 상승 속 급등","2018-01-15"
"123840","한일진공",3495.0,11.13,"","가상화폐 관련 정부 입장 발표 속 가상화폐(비트코인 등) 관련주 급등","2018-01-15"
"074610","나노메딕스",18900.0,29.9,2.0,"상호변경 속 암세포 파괴 나노입자 상업화 권리 보유 모멘텀 지속 등으로 이틀째 상한가","2018-01-16"
"149980","하이로닉",5900.0,29.96,1.0,"의료기기 관련주 상승 속 상한가","2018-01-16"
"086040","바이오톡스텍",11100.0,29.98,"","일부 제약/바이오 관련주 상승 속 상한가","2018-01-16"
"037460","삼지전자",15300.0,24.39,"","통신장비/5G(5세대 이동통신) 관련주 강세 속 5G 수혜 기대감에 급등","2018-01-16"
"007630","암니스",23450.0,18.14,"","통신장비/5G(5세대 이동통신) 관련주 강세 속 급등","2018-01-16"
"001820","삼화콘덴서",50300.0,16.98,"","2차전지/전기차 관련주 강세 속 급등","2018-01-16"
"001390","KG케미칼",29000.0,16.0,"","2차전지/전기차 관련주 강세 속 급등","2018-01-16"
"036010","아비코전자",10900.0,15.83,"","주가 재평가 국면 지속 분석에 급등","2018-01-16"
"137400","피엔티",15800.0,13.67,"","2차전지/전기차 관련주 강세 속 급등","2018-01-16"
"064090","에프앤리퍼블릭",2720.0,13.33,"","화장품 관련주 상승 속 급등","2018-01-16"
"214150","클래시스",4510.0,13.17,"","의료기기 관련주 상승 속 급등","2018-01-16"
