"종목코드","종목명","가격","등락","상한가일수","사유","날짜"
"087010","펩트론",70200.0,30.0,3.0,"신규상장 사흘째 상한가","2015-07-24"
"065420","에스아이리소스",1420.0,29.68,1.0,"투자사 그룹에이트가 이영애 복귀작 '사임당, the Herstory'를 아시아 6개국에 역대 최고가 선판매를 확정했다는 소식에 상한가","2015-07-24"
"005690","파미셀",6830.0,29.85,1.0,"MOE-RNA 뉴클레오시드 시장 본격 진출 소식에 상한가","2015-07-24"
"009180","한솔로지스틱스",5600.0,29.93,1.0,"분할 변경 상장 첫날 상한가","2015-07-24"
"051980","SNH",4820.0,24.87,"","최대주주 지분 매각 검토 모멘텀이 지속되며 급등","2015-07-24"
"008000","도레이케미칼",25300.0,27.78,"","2분기 실적 호조로 급등","2015-07-24"
"068330","일신바이오",3995.0,18.2,"","삼성그룹 바이오사업 추진 기대 모멘텀이 지속되며 급등","2015-07-24"
"136540","윈스",12550.0,19.52,"","2분기 실적 호조로 급등","2015-07-24"
"023770","플레이위드",21150.0,29.75,1.0,"中 룽투게임즈 피인수설 부인에도 상한가","2015-07-27"
"115610","이미지스",6780.0,29.89,1.0,"中 샤오미 터치컨트롤러 IC 수주 소식에 상한가","2015-07-27"
"002720","국제약품",7680.0,16.89,"","계열사의 중국화장품 시장 진출 소식에 급등","2015-07-27"
"042670","두산인프라코어",8440.0,10.76,"","자회사 밥캣 사전 IPO 임박 소식에 급등","2015-07-27"
"051900","LG생활건강",855000.0,14.15,"","상반기 실적 호조 소식에 급등","2015-07-27"
"086980","쇼박스",9770.0,13.87,"","영화 ‘암살’ 흥행 소식에 급등","2015-07-27"
"044380","주연테크",978.0,29.88,1.0,"'윈도 10' 출시를 앞두고 상한가","2015-07-28"
"033050","제이엠아이",1660.0,29.69,1.0,"'윈도 10' 출시를 앞두고 상한가","2015-07-28"
"083790","크리스탈",16400.0,11.19,"","관절염치료제(아셀렉스) 국내판권 독점계약 소식에 급등","2015-07-28"
"057880","토필드",1845.0,29.93,1.0,"국내 방송사업자 2곳과의 계약 체결 소식에 상한가","2015-07-29"
"019180","티에이치엔",2085.0,29.91,1.0,"계열회사 지분 처분 결정에 상한가","2015-07-29"
"067730","로지시스",5430.0,29.9,1.0,"신규 상장 첫날 상한가","2015-07-29"
"013360","일성건설",11400.0,29.69,1.0,"대규모 공급계약 체결에 상한가","2015-07-29"
"074430","아미노로직스",1465.0,18.62,"","삼오제약 원료의약품 국내 사업권 양수 결정에 급등","2015-07-29"
"013700","삼환까뮤",15950.0,18.59,"","삼성전자와 MOU 체결 소식에 급등","2015-07-29"
"067730","로지시스",7050.0,29.83,2.0,"신규 상장 이틀째 상한가","2015-07-30"
"026180","현대정보기술",1850.0,29.82,1.0,"롯데그룹 경영권 분쟁 소식에 상한가","2015-07-30"
"030520","한글과컴퓨터",21600.0,12.21,"","2분기 사상 최대 영업이익 달성에 급등","2015-07-30"
"012510","더존비즈온",21400.0,11.46,"","클라우드발전법 수혜 기대감이 지속되며 급등","2015-07-30"
"109740","디에스케이",8710.0,30.0,1.0,"2분기 실적 호조에 상한가","2015-07-31"
"127710","아시아경제",4210.0,29.94,1.0,"신규상장 첫날 상한가","2015-07-31"
"044380","주연테크",1070.0,29.7,1.0,"""윈도 10"" 출시 모멘텀이 지속되며 상한가","2015-07-31"
"214450","파마리서치프로덕트",103600.0,20.75,"","제약/바이오주 반등 속 급등","2015-07-31"
"102940","코오롱생명과학",179800.0,20.27,"","제약/바이오주 반등 속 급등","2015-07-31"
"067730","로지시스",8400.0,19.15,"","신규 상장 후 사흘째 급등","2015-07-31"
"214430","아이쓰리시스템",68900.0,30.0,1.0,"신규 상장 사흘만에 상한가","2015-08-03"
"081000","일진다이아",8250.0,29.92,1.0,"2분기 실적 호조에 상한가","2015-08-03"
"026180","현대정보기술",1930.0,18.4,"","롯데그룹 경영권 분쟁 모멘텀이 지속되며 급등","2015-08-03"
"089600","나스미디어",71500.0,16.26,"","이익 성장 기대감이 지속되며 급등","2015-08-03"
"007700","F&F",19450.0,13.41,"","디스커버리 브랜드 성장 기대감에 급등","2015-08-03"
"002780","진흥기업",3065.0,12.68,"","총 1,103억원 규모 신축공사 2건 수주로 급등","2015-08-03"
"051500","CJ프레시웨이",78600.0,11.97,"","2분기 실적 호조에 급등","2015-08-03"
"214180","민앤지",35650.0,10.89,"","부동산 등기 서비스 출시 모멘텀이 지속되며 급등","2015-08-03"
"168330","내츄럴엔도텍",30150.0,29.96,1.0,"백수오 중국 수출 소식에 상한가","2015-08-04"
"008930","한미사이언스",143500.0,17.62,"","MSCI 신규 편입 기대감에 급등","2015-08-04"
"039200","오스코텍",4945.0,17.04,"","자회사 신약 개발 기대감에 급등","2015-08-04"
"015860","일진홀딩스",12150.0,15.71,"","자회사 알피니언 저평가 분석에 급등","2015-08-04"
"078140","대봉엘에스",12050.0,14.76,"","2분기 실적 호조로 급등","2015-08-04"
