"날짜","종목코드","종목명","급등 사유","등락"
"2014-01-02",82800.0,"루미마이크로","백열전구 퇴출 소식에 따른 LED 전구 교체 수요 증가 기대감 지속",14.89
"2014-01-02","","","최대주주 변경",""
"2014-01-02",25980.0,"아난티","남북관계 개선을 강조한 북한 신년사 소식에 일부 남북경협 관련주 상승",14.98
"2014-01-02",42940.0,"상지카일룸","계열사 아이디에스 지분 처분에 따른 재무구조 개선 기대감",14.93
"2014-01-02",48770.0,"TPC","미국 3D시스템즈와 제품판매 대리점 계약 체결 소식",14.92
"2014-01-02",34940.0,"조아제약","형질전환 복제돼지 생산 성공 소식",14.9
"2014-01-02",1260.0,"남광토건","총 820억원 규모 아파트 공사 수주",14.89
"2014-01-03",42940.0,"상지카일룸","계열사 아이디에스 지분 처분에 따른 재무구조 개선 기대감 지속",14.88
"2014-01-03",57500.0,"SKC 솔믹스","폴리실리콘 가격 상승 소식에 태양광에너지 관련주 상승",14.88
"2014-01-03",84730.0,"팅크웨어","대규모 프로젝트 수주 기대감",14.74
"2014-01-03",52420.0,"오성첨단소재","폴리실리콘 가격 상승 소식에 태양광에너지 관련주 상승",14.74
"2014-01-03",43090.0,"큐브앤컴퍼니","독감 유행주의보 발령 소식에 백신/진단시약/방역 관련주 상승",14.6
"2014-01-06",42940.0,"상지카일룸","계열사 아이디에스 지분 처분에 따른 재무구조 개선 기대감 지속",14.71
"2014-01-06",43090.0,"큐브앤컴퍼니","미국 및 중국 發 신종플루 확산 우려감에 관련주 상승",14.6
"2014-01-06",57540.0,"옴니시스템","스마트홈 사업 부각 전망에 홈네트워크 관련주 상승",14.93
"2014-01-06",71970.0,"STX중공업","4,716억원 규모 공사 수주",14.9
"2014-01-06",33320.0,"제이씨현시스템","비트코인 가격 1,000달러 재돌파 소식에 비트코인 관련주 상승",14.85
"2014-01-06",15710.0,"코콤","스마트홈 사업 부각 전망에 홈네트워크 관련주 상승",14.82
"2014-01-07",42940.0,"상지카일룸","계열사 아이디에스 지분 처분에 따른 재무구조 개선 기대감 지속",14.83
"2014-01-07",25980.0,"아난티","남북 이산가족 상봉 행사 제안 소식에 남북경협 관련주 상승",14.97
"2014-01-07","","","M&A 기대감",""
"2014-01-07",147830.0,"제룡산업","남북 이산가족 상봉 행사 제안 소식에 전력설비 관련주 상승",14.93
"2014-01-08",69540.0,"라이트론","라이파이(Li-Fi) 상용화 기대감에 관련주로 부각되며 상한가",15.0
"2014-01-08",11690.0,"유양디앤유","라이파이(Li-Fi) 상용화 기대감에 관련주로 부각되며 상한가",14.92
"2014-01-08",91440.0,"텔레필드","라이파이(Li-Fi) 상용화 기대감에 관련주로 부각되며 상한가",14.9
"2014-01-08",109080.0,"옵티시스","라이파이(Li-Fi) 상용화 기대감에 관련주로 부각되며 상한가",14.9
"2014-01-08",68760.0,"셀트리온제약","셀트리온 글로벌 제약사로의 매각 기대감",14.67
"2014-01-09",91440.0,"텔레필드","라이파이(Li-Fi) 상용화 기대감에 관련주로 부각되며 이틀째 상한가",14.95
"2014-01-09",11690.0,"유양디앤유","라이파이(Li-Fi) 상용화 기대감에 관련주로 부각되며 이틀째 상한가",14.46
"2014-01-09",56730.0,"포스링크","유상증자 성공 소식",14.99
"2014-01-09",52860.0,"아이앤씨","라이파이(Li-Fi) 필수 부품인 PLC칩 개발 소식",14.98
"2014-01-09",114120.0,"크루셜텍","스마트폰용 지문인식 센서가 부족할 것이란 전망",14.98
"2014-01-09",23800.0,"인지컨트롤스","관계사의 라이파이(Li-Fi) 차량 통신 개발 소식",14.89
"2014-01-09",37330.0,"인지디스플레","관계사의 라이파이(Li-Fi) 차량 통신 개발 소식",14.88
"2014-01-10",11690.0,"유양디앤유","라이파이(Li-Fi) 상용화 기대감에 관련주로 부각되며 사흘째 상한가",14.93
"2014-01-10",25980.0,"아난티","금강산 관광 재개 기대감에 남북경협 관련주 상승",14.99
"2014-01-10",45060.0,"오공","인천 롯데타운 추진 소식에 관련주로 부각되며 상한가",14.9
"2014-01-10",67630.0,"에이치엘비생명과학","자회사 프롬투정보통신이 한국전자통신연구원(ETRI)과 함께 가시광무선통신 응용제품을 개발 중이란 소식",14.77
"2014-01-13",48770.0,"TPC","박근혜 대통령 발언에 따른 정책 기대감에 3D 프린터 관련주 상승",14.97
"2014-01-13",149940.0,"모다","사물인터넷 기대감에 관련주로 언급되며 상한가",14.95
"2014-01-13",65440.0,"이루온","비트코인 지갑 앱 출시 기대감에 비트코인(Bitcoin) 관련주 상승",14.93
"2014-01-13",18290.0,"브이티지엠피","사물인터넷 기대감에 관련주로 언급되며 상한가",14.93
"2014-01-13",33320.0,"제이씨현시스템","비트코인 지갑 앱 출시 기대감에 비트코인(Bitcoin) 관련주 상승",14.9
"2014-01-13",94280.0,"효성ITX","사물인터넷 기대감에 관련주로 언급되며 상한가",14.89
"2014-01-13",16380.0,"동부제철","인천공장 실사 결과 기대감",14.89
