"날짜","종목코드","종목명","급등 사유","등락"
"2007-01-02","","","동사 모니터제품 윈도비스타 프리미엄 인증 획득소식",""
"2007-01-02","","","대규모 공급계약 소식",""
"2007-01-02","","","윈도비스타수혜주 강세",""
"2007-01-02","","","단말기 제조업체 강세",""
"2007-01-02","","","독자생존 기대감",""
"2007-01-02","","","윈도비스타수혜주 강세",""
"2007-01-02","","","저출산대책관련주 강세",""
"2007-01-02","","","단말기 제조업체 강세",""
"2007-01-03","","","동사 모니터제품 윈도비스타 프리미엄 인증 획득소식",""
"2007-01-03","","","LG家 구본호씨 투자소식",""
"2007-01-03","","","구조조정 계획에 대한 기대감",""
"2007-01-03","","","일본시장 진출 2차 출시모델 호조 소식 등",""
"2007-01-03","","","일본시장 진출 2차 출시모델 호조 소식 등",""
"2007-01-04","","","LG家 구본호씨 투자소식",""
"2007-01-04","","","헬리아텍 투자 성공 부각",""
"2007-01-04","","","일본시장 진출 2차 출시모델 호조 소식 등",""
"2007-01-04","","","일본시장 진출 2차 출시모델 호조 소식 등",""
"2007-01-04","","","지능형로봇 관련주 강세",""
"2007-01-04","","","지능형로봇 관련주 강세",""
"2007-01-04","","","박찬호 등 스포츠스타 유상증자 참여소식",""
"2007-01-04","","","MS OEM파트너로 일체형PC를 공급하고 있는 점 부각",""
"2007-01-04","","","DTI 확대에 따른 반사이익 기대감",""
"2007-01-04","","","농업용 로봇 개발 소식, 지능형로봇 관련주 강세",""
"2007-01-05","","","LG家 구본호씨 투자소식",""
"2007-01-05","","","박찬호 등 스포츠스타 유상증자 참여소식",""
"2007-01-05","","","MS OEM파트너로 일체형PC를 공급하고 있는 점 부각",""
"2007-01-05","","","최대주주의 경영권 양수도 검토 소식",""
"2007-01-05","","","개인투자가 지분매입소식",""
"2007-01-05","","","윈도비스타 수혜 기대감",""
"2007-01-05","","","제2의 싸이월드 출시에 관한 본계약 기대감",""
"2007-01-05","","","최대주주가 개발중인 항암제가 국제 학술지에 게재됐다는 소식",""
"2007-01-05","","","동부생명 지분 보유 부각",""
"2007-01-08","","","LG家 구본호씨 투자소식",""
"2007-01-08","","","박찬호 등 스포츠스타 유상증자 참여소식",""
"2007-01-08","","","MS OEM파트너로 일체형PC를 공급하고 있는 점 부각",""
"2007-01-08","","","동부생명 지분 보유 부각",""
"2007-01-08","","","윈도비스타 수혜 기대감",""
"2007-01-08","","","지능형로봇 관련주 강세",""
"2007-01-08","","","기업분할후 변경상장 첫날 급등",""
"2007-01-08","","","바이오 벤처 MCTT가 시판허가를 받은 피부 세포 치료제의 시판 기대감",""
"2007-01-08","","","임가공 계약을 맺고 있는 캠브리지의 FnC코오롱으로의 피인수 소식",""
"2007-01-08","","","세계 최고수준 휘도의 백색 LED 개발 소식",""
"2007-01-08","","","윈도비스타 탑재 가능한 산업용 메인보드 출시 소식",""
"2007-01-08","","","지능형로봇 관련주 강세",""
"2007-01-08","","","바이오 벤처 MCTT가 시판허가를 받은 피부 세포 치료제의 시판 기대감",""
"2007-01-09","","","LG家 구본호씨 투자소식",""
"2007-01-09","","","박찬호 등 스포츠스타 유상증자 참여소식",""
"2007-01-09","","","기업분할 재상장후 연일 급등",""
"2007-01-09","","","바이오 벤처 MCTT가 시판허가를 받은 피부 세포 치료제의 시판 기대감",""
"2007-01-09","","","윈도비스타 탑재 가능한 산업용 메인보드 출시 소식",""
"2007-01-09","","","바이오 벤처 MCTT가 시판허가를 받은 피부 세포 치료제의 시판 기대감",""
"2007-01-09","","","MS사와 MOU체결 임박설",""
