"날짜","종목코드","종목명","급등 사유","등락"
"2008-01-02","","","신동홀딩스 설립 소식",""
"2008-01-02","","","심근재생세포치료제 독점판매권 확보 소식",""
"2008-01-02","","","유상증자 재추진 소식",""
"2008-01-02","","","최대주주 변경 소식",""
"2008-01-02","","","긍정적인 내년 매출 전망",""
"2008-01-02","","","새만금개발정책 수혜기대감",""
"2008-01-02","","","대운하관련주 강세",""
"2008-01-02","","","대운하관련주 강세",""
"2008-01-02","","","디아만트 계열사 추가 소식",""
"2008-01-02","","","대운하관련주 강세",""
"2008-01-02","","","대운하관련주 강세",""
"2008-01-02","","","연구소기업 설립 승인소식",""
"2008-01-02","","","IPTV관련주 강세",""
"2008-01-02","","","인네트의 헬리아텍 경영 직접 참여 의지 부각",""
"2008-01-02","","","대운하관련주 강세",""
"2008-01-02","","","대운하관련주 강세",""
"2008-01-02","","","건설대표주 강세",""
"2008-01-02","","","신격호 회장 주식증여 소식",""
"2008-01-02","","","대운하관련주 강세",""
"2008-01-03","","","대운하관련주 강세",""
"2008-01-03","","","대운하관련주 강세",""
"2008-01-03","","","대운하관련주 강세",""
"2008-01-03","","","대운하관련주 강세",""
"2008-01-03","","","대운하관련주 강세",""
"2008-01-03","","","대운하관련주 강세",""
"2008-01-03","","","금속나노분말 국산화 성공 소식",""
"2008-01-03","","","183억원 규모 유상증자 완료 소식",""
"2008-01-03","","","자회사의 실험결과, 지방줄기세포 심혈관치료 가능성 확인 소식",""
"2008-01-03","","","가봉 정부와 가스전 개발 최종 합의 소식",""
"2008-01-03","","","핸들러월드 지분 취득소식",""
"2008-01-04","","","금속나노분말 국산화 성공 소식",""
"2008-01-04","","","가봉 정부와 가스전 개발 최종 합의 소식",""
"2008-01-04","","","핸들러월드 지분 취득소식",""
"2008-01-04","","","할리스에프앤비로의 피인수 소식",""
"2008-01-04","","","전문경영인 영입 소식",""
"2008-01-04","","","대규모 공급계약 체결소식",""
"2008-01-04","","","교육관련주 강세",""
"2008-01-04","","","황우석박사팀과 협력 소식",""
"2008-01-07","","","수도약품의 동사 주식 추가 매수 소식",""
"2008-01-07","","","교육관련주 강세",""
"2008-01-07","","","매각 추진소식",""
"2008-01-07","","","로스쿨 사업 진출 소식, 교육관련주 강세",""
"2008-01-07","","","M&A이슈 부각",""
"2008-01-07","","","전력설비주 강세",""
"2008-01-07","","","전력설비주 강세",""
"2008-01-07","","","일부 남북경협주 강세",""
