"날짜","종목코드","종목명","급등 사유","등락"
"2010-01-04","","","스마트카드(전자화폐) 관련주 강세",""
"2010-01-04","","","영화 아바타 흥행 소식에 3D관련주 동반 급등",""
"2010-01-04","","","영화 아바타 흥행 소식에 3D관련주 동반 급등",""
"2010-01-04","","","모바일콘텐츠 관련주 강세",""
"2010-01-04","","","클라우드 컴퓨팅 관련주 급등",""
"2010-01-04","","","터치패널 관련주 강세",""
"2010-01-04","","","클라우드 컴퓨팅 관련주 급등",""
"2010-01-04","","","전자책시장 성장 기대감에 관련주 강세",""
"2010-01-04","","","클라우드 컴퓨팅 관련주 급등",""
"2010-01-04","","","모바일콘텐츠 관련주 강세",""
"2010-01-04","","","클라우드 컴퓨팅 관련주 급등",""
"2010-01-04","","","스마트카드(전자화폐) 관련주 강세",""
"2010-01-04","","","전기차업체 CT&T 지분 인수 우선협상대상자 선정 소식",""
"2010-01-04","","","영화 아바타 흥행 소식에 3D관련주 동반 급등",""
"2010-01-04","","","스마트카드(전자화폐) 관련주 강세",""
"2010-01-04","","","모바일콘텐츠 관련주 강세",""
"2010-01-04","","","자회사의 우회상장 소식",""
"2010-01-04","","","클라우드 컴퓨팅 관련주 급등",""
"2010-01-04","","","모바일콘텐츠 관련주 강세",""
"2010-01-04","","","터치패널 관련주 강세",""
"2010-01-04","","","영화 아바타 흥행 소식에 3D관련주 동반 급등",""
"2010-01-04","","","터치패널 관련주 강세",""
"2010-01-04","","","클라우드 컴퓨팅 관련주 급등",""
"2010-01-04","","","모바일콘텐츠 관련주 강세",""
"2010-01-04","","","클라우드 컴퓨팅 관련주 급등",""
"2010-01-04","","","클라우드 컴퓨팅 관련주 급등",""
"2010-01-04","","","전자책시장 성장 기대감에 관련주 강세",""
"2010-01-04","","","모바일콘텐츠 관련주 강세",""
"2010-01-04","","","클라우드 컴퓨팅 관련주 급등",""
"2010-01-05","","","올해 3D TV 방송 본격 추진 전망 및 아바타의 흥행 호조가 이어지며 연일 급등",""
"2010-01-05","","","일부 모바일콘텐츠 관련주 강세",""
"2010-01-05","","","클라우딩 컴퓨터 관련주 연일 강세",""
"2010-01-05","","","클라우딩 컴퓨터 관련주 연일 강세",""
"2010-01-05","","","클라우딩 컴퓨터 관련주 연일 강세",""
"2010-01-05","","","올해 3D TV 방송 본격 추진 전망 및 아바타의 흥행 호조가 이어지며 연일 급등",""
"2010-01-05","","","최대주주 변경",""
"2010-01-05","","","클라우딩 컴퓨터 관련주 연일 강세",""
"2010-01-05","","","올해 3D TV 방송 본격 추진 전망 및 아바타의 흥행 호조가 이어지며 연일 급등",""
"2010-01-05","","","최대주주 변경",""
"2010-01-05","","","일부 모바일콘텐츠 관련주 강세",""
"2010-01-05","","","올해 3D TV 방송 본격 추진 전망 및 아바타의 흥행 호조가 이어지며 연일 급등",""
"2010-01-05","","","일부 모바일콘텐츠 관련주 강세",""
"2010-01-05","","","클라우딩 컴퓨터 관련주 연일 강세",""
"2010-01-06","","","일부 클라우딩 컴퓨터 관련주 연일 급등",""
"2010-01-06","","","테마 순환매에 따른 기술적 반등으로 줄기세포, 제대혈, 바이오시밀러 등 바이오 관련 테마 강세",""
"2010-01-06","","","테마 순환매에 따른 기술적 반등으로 줄기세포, 제대혈, 바이오시밀러 등 바이오 관련 테마 강세",""
"2010-01-06","","","5,000만 달러 규모 원유 수출 협상 소식",""
"2010-01-06","","","미국 원전 수출 기대감에 일부 원자력발전 관련주 강세",""
"2010-01-06","","","일부 클라우딩 컴퓨터 관련주 연일 급등",""
"2010-01-06","","","테마 순환매에 따른 기술적 반등으로 줄기세포, 제대혈, 바이오시밀러 등 바이오 관련 테마 강세",""
"2010-01-06","","","테마 순환매에 따른 기술적 반등으로 줄기세포, 제대혈, 바이오시밀러 등 바이오 관련 테마 강세",""
"2010-01-06","","","줄기세포 연구개발 협약 체결 소식",""
"2010-01-06","","","성형의료기 전세계 독점판매권 획득 소식",""
"2010-01-06","","","테마 순환매에 따른 기술적 반등으로 줄기세포, 제대혈, 바이오시밀러 등 바이오 관련 테마 강세",""
"2010-01-07","","","CJ제일제당과 줄기세포 연구개발 협약 체결 소식",""
"2010-01-07","","","성형의료기 전세계 독점판매권 획득 소식",""
"2010-01-07","","","경기회복에 따른 수주 증가 기대감과 저평가 매력 부각 등으로 조선주 급등",""
