"날짜","종목코드","종목명","급등 사유","등락"
"2020-01-02",93640,"다믈멀티미디어","안철수 전 바른미래당 대표 정계 복귀 선언에 정치/인맥(안철수) 관련주 상승 속 상한가",29.97
"2020-01-02",4770,"써니전자","안철수 전 바른미래당 대표 정계 복귀 선언에 정치/인맥(안철수) 관련주 상승 속 상한가",29.87
"2020-01-02",440,"중앙에너비스","이낙연 국무총리, 대선주자 선호도 1위 소식 등에 정치/인맥(이낙연) 관련주 상승 속 상한가",29.79
"2020-01-02",62970,"피피아이","5G 투자 촉진 3대 패키지 추진 소식 등에 5G/통신장비 관련주 상승 속 상한가",29.76
"2020-01-02",53800,"안랩","안철수 전 바른미래당 대표 정계 복귀 선언에 정치/인맥(안철수) 관련주 상승 속 급등",23.66
"2020-01-02",6050,"국영지앤엠","이낙연 국무총리, 대선주자 선호도 1위 소식 등에 정치/인맥(이낙연) 관련주 상승 속 급등",21.17
"2020-01-02",308170,"센트랄모텍","테슬라 모델3 중국 내 인도 개시 소식에 급등",20.63
"2020-01-02",28080,"휴맥스홀딩스","안철수 전 바른미래당 대표 정계 복귀 선언에 정치/인맥(안철수) 관련주 상승 속 급등",17.04
"2020-01-02",83500,"에프엔에스테크","OLED 관련주 상승 속 694.01억원 규모 공급계약 체결에 급등",15.78
"2020-01-02",299900,"위지윅스튜디오","무상증자 권리락 효과에 급등",15.4
"2020-01-02",33790,"스카이문스테크놀로지","통신장비 관련주 상승 속 글로벌 기대작 '방치함대' 흥행 기대감에 급등",15.19
"2020-01-02",256940,"케이피에스","삼성디스플레이, QD 디스플레이 설비 투자 본격화에 OLED 관련주 상승 속 급등",15.02
"2020-01-02",42500,"링네트","안철수 전 바른미래당 대표 정계 복귀 선언에 정치/인맥(안철수) 관련주 상승 속 급등",13.04
"2020-01-02",60900,"케이알피앤이","최대주주 변경을 수반하는 주식양수도 계약 체결 모멘텀 지속 등에 급등",12.98
"2020-01-02",15590,"큐로","자회사 아이티엔지니어링 흡수합병 결정에 급등",12.44
"2020-01-02",178780,"유테크","신성장동력사업에 따른 관리종목 탈피 기대감 지속에 급등",12.35
"2020-01-02",53450,"세코닉스","자율주행차 및 카메라모듈/부품 관련주 상승 속 급등",12.23
"2020-01-02",32500,"케이엠더블유","5G 투자 촉진 3대 패키지 추진 소식 등에 5G/통신장비 관련주 상승 속 급등",12.13
"2020-01-02",182690,"테라셈","최대주주 변경 속 급등",10.76
"2020-01-03",308170,"센트랄모텍","테슬라 모델3 중국 내 인도 개시 모멘텀 지속에 상한가",30.0
"2020-01-03",24060,"흥구석유","美 공습으로 이란 솔레이마니 쿠드스 사령관 사망 소식에 LPG 관련주 상승 속 상한가",29.93
"2020-01-03",33790,"스카이문스테크놀로지","글로벌 기대작 '방치함대' 흥행 기대감 지속에 상한가",29.52
"2020-01-03",440,"중앙에너비스","美 공습으로 이란 솔레이마니 쿠드스 사령관 사망 소식에 LPG 관련주 상승 속 급등",20.48
"2020-01-03",7370,"진양제약","식약처의 치매증상 치료제 품목 허가 소식 속 급등",17.91
"2020-01-03",300120,"라온피플","C-PHY 검사 시장 선점 및 AI머신비전/컨슈머용 AI 솔루션 시장 성장 기대감 지속 등에 급등",15.46
"2020-01-03",60590,"씨티씨바이오","백신/진단시약/방역 관련주 상승 속 자회사 씨티씨백, 국내 첫 구제역 백신 위탁 제조 예정 소식에 급등",14.4
"2020-01-03",4090,"한국석유","美 공습으로 이란 솔레이마니 쿠드스 사령관 사망 소식에 관련주로 시장에서 부각되며 급등",13.37
"2020-01-03",4770,"써니전자","안철수 전 바른미래당 대표 정계 복귀 선언 모멘텀 지속에 일부 정치/인맥(안철수) 관련주 상승 속 급등",13.2
"2020-01-03",46940,"우원개발","이낙연 국무총리, 대선주자 선호도 1위 모멘텀 지속 등에 일부 정치/인맥(이낙연) 관련주 상승 속 급등",11.3
"2020-01-03",43200,"파루","中 원인불명 폐렴 확산 소식 등에 백신/진단시약/방역 관련주 상승 속 급등",11.09
"2020-01-03",232140,"와이아이케이","반도체 업황 회복 기대감 지속 및 필라델피아 반도체 지수 급등 등에 반도체 관련주 상승 속 급등",11.01
"2020-01-03",39230,"에이아이비트","美 일리노이주, 마리화나 합법화 첫날 매출 37억원 달성 소식에 일부 마리화나 관련주 상승 속 급등",10.24
"2020-01-03",44380,"주연테크","이낙연 국무총리, 대선주자 선호도 1위 모멘텀 지속 등에 일부 정치/인맥(이낙연) 관련주 상승 속 급등",9.95
"2020-01-03",101490,"에스앤에스텍","반도체 관련주 및 日 수출규제 관련주(국산화 등) 상승 속 급등",9.8
"2020-01-03",60280,"큐렉소","美 투자회사, 수술로봇 美 첫 판매계약 체결 소식에 급등",9.3
"2020-01-03",139670,"키네마스터","동영상 편집 앱 글로벌 누적 다운로드 2억회 달성 모멘텀 지속 등에 급등",9.27
"2020-01-03",2360,"SH에너지화학","美 공습으로 이란 솔레이마니 쿠드스 사령관 사망 소식에 셰일가스 관련주 상승 속 급등",9.22
"2020-01-06",24060,"흥구석유","美/이란 갈등 격화 우려 지속 등에 LPG 관련주 상승 속 상한가",29.93
"2020-01-06",33790,"스카이문스테크놀로지","신작 흥행 기대감 지속 등에 상한가",29.73
"2020-01-06",14530,"극동유화","美/이란 갈등 격화 우려 지속 등에 LPG 관련주 상승 속 상한가",29.89
"2020-01-06",4090,"한국석유","美/이란 갈등 격화 우려 지속 등에 관련주로 시장에서 부각되며 상한가",29.69
"2020-01-06",2360,"SH에너지화학","美/이란 갈등 격화 우려 지속 등에 일부 셰일가스 관련주 상승 속 급등",28.44
"2020-01-06",54670,"대한뉴팜","투자사 카스피안 선라이즈 카자흐스탄 광구 부각 지속 및 中 원인불명 폐렴 확산 소식 등에 시장에서 관련주로 부각되며 급등",26.11
"2020-01-06",317120,"라닉스","세계 첫 부분 자율주행차 안전기준 도입 속 수혜주로 부각되며 급등",22.58
"2020-01-06",440,"중앙에너비스","美/이란 갈등 격화 우려 지속 등에 LPG 관련주 상승 속 급등",16.21
"2020-01-06",101170,"우림기계","美/이란 갈등 격화 우려 지속 등에 일부 셰일가스 관련주 상승 속 급등",10.48
"2020-01-06",24740,"한일단조","美/이란 갈등 격화 우려 지속 등에 일부 방위산업/전쟁 및 테러 관련주 상승 속 급등",9.09
"2020-01-06",38160,"팍스넷","재무구조 개선 목적 140억원 규모 유형자산 양수 결정 속 급등",8.95
"2020-01-07",275630,"에스에스알","美-이란간 사이버 확전 우려 등에 보안주(정보) 관련주 상승 속 상한가",29.95
"2020-01-07",215600,"신라젠","제약/바이오 관련주 상승 속 펙사벡 신장암 임상 추가 승인 소식 등에 상한가",29.84
"2020-01-07",14530,"극동유화","美/이란 갈등 격화 우려 지속 등에 일부 LPG 관련주 상승 속 급등",24.52
"2020-01-07",263800,"데이타솔루션","삼성전자/LG전자, AI 관련 발표 소식 등에 지능형로봇/인공지능 관련주 상승 속 급등",23.94
"2020-01-07",219550,"MP한강","中 인센티브 단체관광객 방한 소식에 중국 소비 관련주 상승 속 급등",15.64
"2020-01-07",208350,"지란지교시큐리티","美-이란간 사이버 확전 우려 등에 보안주(정보) 관련주 상승 속 급등",12.41
"2020-01-07",37950,"엘컴텍","중동發 위기에 따른 금값 상승 수혜 기대감에 급등",10.0
"2020-01-07",27050,"코리아나","中 인센티브 단체관광객 방한 소식에 중국 소비 관련주 상승 속 급등",9.5
"2020-01-07",49480,"오픈베이스","보안주(정보) 및 지능형로봇/인공지능 관련주 상승 속 급등",9.48
"2020-01-07",88800,"에이스테크","올해 실적 성장 궤도 재진입 기대감 지속에 급등",9.13
"2020-01-08",13810,"스페코","이란, 미군기지 미사일 공격 소식에 방위산업/전쟁 및 테러 관련주 상승 속 상한가",29.97
"2020-01-08",25770,"한국정보통신","자사주 취득 및 주식소각 결정에 상한가",29.96
"2020-01-08",65450,"빅텍","이란, 미군기지 미사일 공격 소식에 방위산업/전쟁 및 테러 관련주 상승 속 상한가",29.92
"2020-01-08",10820,"퍼스텍","이란, 미군기지 미사일 공격 소식에 방위산업/전쟁 및 테러 관련주 상승 속 상한가",29.91
"2020-01-08",53110,"소리바다","크라운인베스트조합(변경 예정 최대주주) 대상 99.99억원 규모 유상증자 결정에 상한가",29.82
"2020-01-08",24740,"한일단조","이란, 미군기지 미사일 공격 소식에 방위산업/전쟁 및 테러 관련주 상승 속 급등",25.07
"2020-01-08",128820,"대성산업","이란, 미군기지 미사일 공격 소식에 유가 급등 수혜주로 부각되며 급등",22.68
"2020-01-08",119500,"포메탈","이란, 미군기지 미사일 공격 소식에 방위산업/전쟁 및 테러 관련주 상승 속 급등",20.21
"2020-01-08",2360,"SH에너지화학","이란, 미군기지 미사일 공격 소식 속 석유 대체에너지 셰일가스 생산 사실 부각에 급등",16.97
"2020-01-08",5870,"휴니드","이란, 미군기지 미사일 공격 소식에 방위산업/전쟁 및 테러 관련주 상승 속 급등",16.83
"2020-01-08",3010,"혜인","이란, 미군기지 미사일 공격 소식에 방위산업/전쟁 및 테러 관련주 상승 속 급등",13.48
"2020-01-08",117580,"대성에너지","이란, 미군기지 미사일 공격 소식에 유가 급등 수혜주로 부각되며 급등",11.95
"2020-01-08",4090,"한국석유","이란, 미군기지 미사일 공격 소식에 유가 급등 수혜주로 부각되며 급등",11.87
"2020-01-08",215090,"유니맥스글로벌","이란, 미군기지 미사일 공격 소식에 방위산업/전쟁 및 테러 관련주 상승 속 급등",10.96
"2020-01-08",7120,"미래아이앤지","이란, 미군기지 미사일 공격 소식에 방위산업/전쟁 및 테러 관련주 상승 속 급등",10.87
"2020-01-08",33320,"제이씨현시스템","이란, 미군기지 미사일 공격 소식 속 안티드론 주목에 관련주로 부각되며 급등",10.09
"2020-01-09",14970,"삼륭물산","DMZ 인근 군사보호구역 추가 해제 및 남북 철도 연결 정밀조사 준비 소식 등에 대북 관련주 상승 속 상한가",29.72
