"날짜","종목코드","종목명","급등 사유","등락"
"2011-01-03","","","대통령선거 관련주 연일 급등",""
"2011-01-03","","","대주주 지분확대",""
"2011-01-03","","","최대주주가 (주)JYP엔터테인먼트 외 4인으로 변경",""
"2011-01-03","","","대통령선거 관련주 연일 급등",""
"2011-01-03","","","대통령선거 관련주 연일 급등",""
"2011-01-03","","","대통령선거 관련주 연일 급등",""
"2011-01-03","","","작년 고공행진을 지속했던 금값이 올해에 더 오를 것이란 전망에 일부 금관련주 연일 급등",""
"2011-01-03","","","신규상장 후 연일 급등",""
"2011-01-03","","","작년 고공행진을 지속했던 금값이 올해에 더 오를 것이란 전망에 일부 금관련주 연일 급등",""
"2011-01-03","","","종합편성채널 사업자 선정에 따른 매출 급증 기대감에 엔터테인먼트/영상콘텐츠 관련주 급등",""
"2011-01-03","","","대규모 가공식품 공급계약 체결",""
"2011-01-03","","","대구도시가스 상장효과",""
"2011-01-03","","","구제역과 조류인플루엔자(AI) 등 가축전염병이 전국으로 확산됨에 따라 수입육유통관련주 급등",""
"2011-01-03","","","종합편성채널 사업자 선정에 따른 매출 급증 기대감에 엔터테인먼트/영상콘텐츠 관련주 급등",""
"2011-01-03","","","종합편성채널 사업자 선정에 따른 매출 급증 기대감에 엔터테인먼트/영상콘텐츠 관련주 급등",""
"2011-01-03","","","대통령선거 관련주 연일 급등",""
"2011-01-03","","","종합편성채널 사업자 선정에 따른 매출 급증 기대감에 엔터테인먼트/영상콘텐츠 관련주 급등",""
"2011-01-03","","","데이터트래픽 급증 수혜 전망",""
"2011-01-03","","","美 제약회사와 항암제용 항체치료제 기술이전 옵션계약 체결 소식",""
"2011-01-03","","","데이터트래픽 급증 수혜 전망",""
"2011-01-03","","","FPCB(연성인쇄회로기판) 관련주 급등",""
"2011-01-04","","","대통령선거 관련주 연일 급등",""
"2011-01-04","","","종합편성채널 사업자 선정에 따른 매출 급증 기대감",""
"2011-01-04","","","신규상장 후 연일 급등",""
"2011-01-04","","","종합편성채널 사업자 선정에 따른 매출 급증 기대감",""
"2011-01-04","","","대구도시가스 상장효과",""
"2011-01-04","","","정부 정책 기대감 지속",""
"2011-01-04","","","3D 태블릿 공개 예정 소식",""
"2011-01-04","","","미국 줄기세포회사와 라이센싱 계약 체결 소식",""
"2011-01-04","","","3D 태블릿 공개 예정 소식",""
"2011-01-04","","","3D 태블릿 공개 예정 소식",""
"2011-01-04","","","3D 태블릿 공개 예정 소식",""
"2011-01-04","","","신규상장 첫날 상한가",""
"2011-01-04","","","정부 정책 기대감 지속",""
"2011-01-04","","","밀가루가격 인상 소식",""
"2011-01-05","","","미국 줄기세포회사와 라이센싱 계약 체결 소식",""
"2011-01-05","","","CES 2011에서 3D 태블릿PC 3종을 공개한다는 소식에 이틀 연속 상한가",""
"2011-01-05","","","게임개발사 이프 인수 성사 모멘텀 지속",""
"2011-01-05","","","신규상장 후 연일 상한가",""
"2011-01-05","","","신규상장 첫날 상한가",""
"2011-01-05","","","신규상장 첫날 상한가",""
"2011-01-05","","","신규상장 첫날 상한가",""
"2011-01-05","","","일부 대통령선거 관련주 급등",""
"2011-01-05","","","일부 대통령선거 관련주 급등",""
"2011-01-06","","","미국 줄기세포회사와 라이센싱 계약 체결 소식",""
"2011-01-06","","","일본업체와 80억 규모 무선통신 태블릿 단말기 공급계약 체결",""
"2011-01-06","","","OLED 관련주 상승",""
"2011-01-06","","","OLED 관련주 상승",""
"2011-01-06","","","인천 강화 구제역 의심신고 소식에 수입육유통 관련주 급등",""
"2011-01-06","","","자가면역 갑상샘염 줄기세포 효과 입증 연구 발표 소식",""
"2011-01-06","","","인천 강화 구제역 의심신고 소식에 수입육유통 관련주 급등",""
"2011-01-06","","","저축은행주 일제히 상한가",""
"2011-01-06","","","저축은행주 일제히 상한가",""
"2011-01-06","","","저축은행주 일제히 상한가",""
"2011-01-06","","","저축은행주 일제히 상한가",""
"2011-01-06","","","저축은행주 일제히 상한가",""
"2011-01-06","","","저축은행주 일제히 상한가",""
"2011-01-06","","","저축은행주 일제히 상한가",""
"2011-01-07","","","박근혜 전한나라당대표가 한국형 생활복지정책을 공개함에 따라 대통령선거 관련주로 부각되며 연일 급등",""
"2011-01-07","","","구제역이 확산 되면서 대체수요 증가 기대감으로 연일 급등",""
"2011-01-07","","","구제역이 확산 되면서 대체수요 증가 기대감으로 연일 급등",""
"2011-01-07","","","박근혜 전한나라당대표가 한국형 생활복지정책을 공개함에 따라 대통령선거 관련주로 부각되며 상한가",""
"2011-01-07","","","구제역이 확산 되면서 대체수요 증가 기대감으로 연일 급등",""
"2011-01-07","","","박근혜 전한나라당대표가 한국형 생활복지정책을 공개함에 따라 대통령선거 관련주로 부각되며 상한가",""
"2011-01-07","","","국제 농산물 가격 불안에 따른 식량위기 우려감에 일부 농업관련주 급등",""
"2011-01-10","","","구제역이 확산 되면서 대체수요 증가 기대감으로 수입육유통 관련주 연일 급등",""
"2011-01-10","","","구제역이 확산 되면서 대체수요 증가 기대감으로 수입육유통 관련주 연일 급등",""
"2011-01-10","","","캐리어에어컨 인수 모멘텀 지속",""
"2011-01-10","","","해외 거래처 확대 추진 소식",""
"2011-01-10","","","구제역이 확산 되면서 대체수요 증가 기대감으로 수입육유통 관련주 연일 급등",""
"2011-01-10","","","세계 최초 난연성 알루미늄 전해커패시터 개발 소식",""
"2011-01-10","","","구제역 및 AI 확산 소식에 수산주 급등",""
"2011-01-10","","","삼화전기의 세계 최초 난연성 알루미늄 전해커패시터 개발 소식에 동반 상한가",""
"2011-01-10","","","대통령선거 관련주 상승",""
"2011-01-10","","","구제역 및 AI 확산 소식에 수산주 급등",""
"2011-01-10","","","구제역 및 AI 확산 소식에 수산주 급등",""
"2011-01-10","","","세계 최초 난연성 알루미늄 전해커패시터 개발 소식",""
"2011-01-10","","","일부 농업 관련주 급등",""
"2011-01-10","","","일부 농업 관련주 급등",""
"2011-01-11","","","구제역이 확산 되면서 대체수요 증가 기대감으로 연일 급등",""
"2011-01-11","","","구제역이 확산 되면서 대체수요 증가 기대감으로 연일 급등",""
"2011-01-11","","","구제역이 확산 되면서 대체수요 증가 기대감으로 연일 급등",""
"2011-01-11","","","구제역 및 AI 확산 소식에 수산주 연일 급등",""
"2011-01-11","","","구제역 및 AI 확산 소식에 수산주 연일 급등",""
"2011-01-11","","","세계 최초 난연성 알루미늄 전해커패시터 개발 소식",""
"2011-01-11","","","미국업체와 3D태블릿 공급을 위한 양해각서(MOU)를 체결했다는 소식",""
"2011-01-11","","","몽골 광산회사 인수 소식",""
"2011-01-11","","","구제역 및 AI 확산 소식에 수산주 연일 급등",""
"2011-01-11","","","포스코와의 대규모 공급계약 체결",""
"2011-01-11","","","정부의 의료산업 활성화 수혜 전망에 U-HEALTHCARE 관련주 상승",""
"2011-01-11","","","최대주주인 설윤석 대한전선 부회장의 지분 확대로 상한가",""
"2011-01-11","","","투자광구인 갈라즈 광구가 카자흐스탄 정부로부터 시범상업생산 승인을 허가 받았다는 소식",""
