"날짜","종목코드","종목명","급등 사유","등락"
"2009-01-02","","","캄보디아에 수출 계약 소식",""
"2009-01-02","","","키코관련주 강세",""
"2009-01-02","","","대규모 공급계약 체결 소식",""
"2009-01-02","","","JYP엔터테인먼트와 영상물 제작 등 공동사업 추진 소식",""
"2009-01-02","","","키코관련주 강세",""
"2009-01-02","","","CNT 사업 기대감",""
"2009-01-02","","","대규모 공급계약 체결 소식",""
"2009-01-02","","","자전거관련주 강세",""
"2009-01-02","","","한화그룹주 강세",""
"2009-01-02","","","실적 기대감",""
"2009-01-02","","","4대강 수혜주로 부각",""
"2009-01-02","","","한화그룹주 강세",""
"2009-01-02","","","조선주 강세",""
"2009-01-02","","","대규모 공급계약 체결 소식",""
"2009-01-02","","","조선기자재 생산업체 강세",""
"2009-01-02","","","RFID 안테나 생산용ROLL Coater 개발 소식",""
"2009-01-02","","","최대주주 보유주식 매각 계약 체결",""
"2009-01-02","","","자전거관련주 강세",""
"2009-01-02","","","키코관련주 강세",""
"2009-01-02","","","조선기자재 생산업체 강세",""
"2009-01-02","","","키코관련주 강세",""
"2009-01-02","","","CNT 사업 기대감",""
"2009-01-02","","","최대주주 변경, 조선기자재 생산업체 강세",""
"2009-01-02","","","조선주 강세",""
"2009-01-05","","","캄보디아에 수출 계약 소식",""
"2009-01-05","","","대규모 공급계약 체결 소식",""
"2009-01-05","","","최대주주 변경",""
"2009-01-05","","","일부 대운하관련주 강세",""
"2009-01-05","","","실적 기대감",""
"2009-01-05","","","4대강 수혜주로 부각",""
"2009-01-05","","","NI스틸이 4대강 수혜주로 부각되면서 동반 급등",""
"2009-01-05","","","RFID 안테나 생산용ROLL Coater 개발 소식",""
"2009-01-05","","","JYP엔터테인먼트와 영상물 제작 등 공동사업 추진 소식",""
"2009-01-05","","","LED관련주 강세",""
"2009-01-05","","","LED관련주 강세",""
"2009-01-05","","","LED관련주 강세",""
"2009-01-05","","","키이스트가 JYP엔터테인먼트와 영상물 제작 등 공동사업을 추진한다는 소식으로 동반 급등",""
"2009-01-05","","","구조조정 재협의, 생산재개 소식 등",""
"2009-01-05","","","일부 대운하관련주 강세",""
"2009-01-05","","","환율 안정시 이익개선 전망",""
"2009-01-05","","","은행주 강세",""
"2009-01-06","","","4대강 수혜주로 부각",""
